ADDRESS,POINTS
10 DISCOVERY DR SW,-8890.040 -4002.246|-8895.787 -3997.909|-8904.056 -4003.091|-8912.424 -4008.095|-8920.882 -4012.931|-8929.446 -4017.613|-8932.515 -4019.481|-8935.353 -4021.683|-8937.925 -4024.184|-8940.204 -4026.964|-8942.161 -4029.989|-8943.762 -4033.202|-8944.993 -4036.583|-8945.838 -4040.074|-8946.286 -4043.644|-8946.335 -4047.235|-8945.978 -4050.816|-8945.223 -4054.329|-8944.084 -4057.732|-8942.567 -4060.990|-8940.693 -4064.059|-8938.484 -4066.894|-8934.884 -4054.151|-8930.215 -4037.650|-8927.174 -4026.886|-8912.892 -4017.413
48 DISCOVERY DR SW,-8831.789 -4049.581|-8830.628 -4042.176|-8832.054 -4036.527|-8836.885 -4037.750|-8835.710 -4042.409|-8839.800 -4058.444|-8843.386 -4072.510|-8846.818 -4085.975|-8850.432 -4100.164|-8844.700 -4098.374|-8839.122 -4096.150|-8837.752 -4087.410|-8834.753 -4068.396
82 DISCOVERY DR SW,-8627.373 -4062.224|-8627.373 -4055.664|-8629.184 -4048.214|-8634.014 -4049.415|-8632.350 -4056.264|-8632.350 -4067.517|-8632.350 -4074.978|-8632.350 -4082.439|-8632.364 -4101.776|-8627.387 -4103.355|-8627.380 -4090.245|-8627.380 -4076.235
106 DISCOVERY DR SW,-8540.761 -4046.746|-8545.459 -4046.779|-8546.654 -4046.779|-8546.661 -4060.189|-8546.668 -4073.588|-8546.675 -4086.998|-8546.682 -4100.420|-8546.696 -4124.438|-8545.501 -4125.005|-8540.796 -4127.384|-8540.796 -4123.515|-8540.796 -4122.325|-8540.789 -4115.965|-8540.789 -4104.267|-8540.782 -4092.580|-8540.775 -4080.894|-8540.775 -4069.207|-8540.768 -4057.521
4 DISCOVERY RIDGE GA SW,-8945.671 -3952.186|-8957.722 -3959.469|-8970.214 -3967.041|-8982.699 -3974.603|-8989.333 -3978.639|-8997.882 -3977.193|-9011.241 -3960.258|-9016.778 -3953.253|-9018.952 -3950.518|-9020.105 -3951.485|-9021.042 -3952.664|-9021.636 -3953.798|-9022.028 -3955.021|-9022.209 -3956.300|-9022.167 -3957.579|-9021.797 -3959.347|-9021.021 -3960.959|-9019.420 -3963.227|-9017.721 -3965.407|-9015.771 -3967.686|-9013.576 -3969.999|-9011.255 -3972.190|-9008.823 -3974.247|-9006.285 -3976.182|-9003.132 -3978.294|-8999.861 -3980.207|-8996.470 -3981.908|-8992.982 -3983.387|-8989.815 -3984.510|-8986.586 -3985.455|-8983.307 -3986.222|-8979.987 -3986.801|-8976.645 -3987.190|-8973.283 -3987.379|-8969.921 -3987.390|-8966.558 -3987.212|-8963.217 -3986.834|-8959.896 -3986.278|-8956.618 -3985.533|-8953.381 -3984.599|-8950.200 -3983.487|-8947.097 -3982.197|-8944.063 -3980.741|-8941.120 -3979.106|-8932.717 -3973.869|-8924.238 -3968.765|-8928.425 -3962.738|-8930.935 -3959.013|-8933.332 -3955.221|-8935.625 -3951.363|-8937.806 -3947.438|-8941.211 -3949.495
214R DISCOVERY PL SW,-8832.893 -4033.180|-8836.829 -4017.535|-8841.464 -4019.514|-8836.885 -4037.750|-8832.054 -4036.527
323R DISCOVERY PL SW,-8636.685 -3989.336|-8641.662 -3988.780|-8641.669 -4015.567|-8641.662 -4017.969|-8640.508 -4022.728|-8638.558 -4030.756|-8636.789 -4038.006|-8635.028 -4045.256|-8634.014 -4049.415|-8629.184 -4048.214|-8632.441 -4034.792|-8635.734 -4021.249|-8636.685 -4017.357|-8636.678 -4007.238
347R DISCOVERY PL SW,-8546.619 -4019.970|-8546.633 -4033.391|-8546.654 -4046.779|-8545.459 -4046.779|-8540.761 -4046.746|-8540.761 -4045.823|-8540.761 -4038.273|-8540.754 -4031.835|-8540.747 -4016.290|-8540.747 -4014.922|-8540.747 -4012.998|-8541.747 -4012.631|-8544.648 -4011.553|-8544.976 -4011.430|-8545.410 -4011.264|-8546.626 -4010.819
30 DISCOVERY RIDGE RD SW,-8988.131 -3757.617|-8993.737 -3753.603|-8998.078 -3750.489|-9044.327 -3770.838|-9042.677 -3774.452|-9023.321 -3768.481|-9008.438 -3763.888
64 DISCOVERY DR SW,-8740.144 -4020.782|-8741.479 -3990.893|-8746.421 -3991.671|-8745.729 -4007.183|-8745.044 -4022.583|-8747.791 -4036.360|-8750.524 -4050.037|-8753.719 -4065.994|-8748.637 -4065.994|-8745.764 -4051.583|-8744.303 -4044.266|-8742.842 -4036.950|-8741.059 -4028.010|-8740.046 -4022.961
