ADDRESS,POINTS
1661R 42 AV NE,3528.829 4458.943|3693.329 4459.021|3693.420 4471.197|3528.913 4471.119
1661 42 AV NE,3528.913 4471.119|3529.185 4514.218|3506.026 4514.196|3470.297 4514.163|3468.340 4514.152|3467.837 4433.936|3528.675 4433.969|3528.829 4458.943
1600 32 AV NE,3470.458 4953.594|3458.484 4953.527|3442.755 4953.438|3432.011 4953.494|3421.273 4953.805|3410.550 4954.361|3399.833 4955.162|3390.326 4956.107|3380.840 4957.297|3371.389 4958.742|3361.987 4960.421|3352.627 4962.356|3343.315 4964.535|3334.074 4966.960|3324.889 4969.617|3315.787 4972.519|3306.755 4975.655|3297.814 4979.035|3288.965 4982.638|3280.212 4986.474|3271.565 4990.533|3263.023 4994.825|3254.599 4999.339|3254.327 4965.014|3240.206 4964.902|3234.222 4964.858|3187.085 5035.567|3178.144 5048.966|3174.544 5035.556|3152.692 4954.139|3126.275 4855.687|3106.974 4783.766|3105.744 4779.185|3104.521 4774.626|3085.227 4702.727|3042.711 4544.385|3040.027 4534.378|3034.658 4514.252|3031.925 4504.200|3003.411 4397.864|2983.669 4324.297|3006.186 4322.874|3047.898 4308.485|3073.099 4303.081|3098.383 4298.111|3117.174 4294.708|3135.999 4291.528|3154.866 4288.593|3173.768 4285.891|3183.373 4284.612|3183.003 4233.596|3096.587 4127.427|3029.338 4044.809|3029.205 3970.186|3029.128 3923.829|3029.108 3912.131|3029.087 3898.610|3028.835 3755.457|3056.804 3755.469|3106.967 3755.491|3225.058 3755.558|3225.023 3750.476|3224.967 3743.326|3224.939 3738.322|3607.367 3738.567|4054.687 3738.778|4054.792 3769.234|4055.072 3845.047|4055.344 3921.193|4055.624 3997.340|4055.813 4086.885|4056.246 4195.378|4056.421 4239.178|4056.785 4315.357|4057.064 4391.504|4057.344 4467.650|4045.180 4467.694|3937.835 4468.072|3934.843 4468.072|3918.681 4468.139|3918.786 4481.127|3918.806 4484.118|3919.023 4510.404|3919.058 4514.674|3919.219 4534.778|3920.100 4644.238|3758.081 4644.305|3595.895 4644.372|3596.692 4743.791|3580.614 4743.802|3577.622 4743.814|3576.623 4743.814|3576.783 4763.918|3577.371 4837.162|3577.420 4843.155|3577.727 4881.673|3577.916 4905.324|3577.993 4915.465|3578.209 4942.363|3578.328 4954.250|3506.201 4953.805|3506.194 4942.408|3470.451 4942.419
1600 32 AV NE,3470.297 4514.163|3470.304 4534.267|3470.416 4843.188|3506.159 4843.177|3506.124 4763.984|3506.117 4743.880|3506.026 4514.196|3529.185 4514.218|3528.913 4471.119|3693.420 4471.197|3693.329 4459.021|3528.829 4458.943|3528.675 4433.969|3467.837 4433.936|3468.340 4514.152
1600 32 AV NE,3470.458 4953.594|3458.484 4953.527|3442.755 4953.438|3432.011 4953.494|3421.273 4953.805|3410.550 4954.361|3399.833 4955.162|3390.326 4956.107|3380.840 4957.297|3371.389 4958.742|3361.987 4960.421|3352.627 4962.356|3343.315 4964.535|3334.074 4966.960|3324.889 4969.617|3315.787 4972.519|3306.755 4975.655|3297.814 4979.035|3288.965 4982.638|3280.212 4986.474|3271.565 4990.533|3263.023 4994.825|3254.599 4999.339|3254.327 4965.014|3240.206 4964.902|3234.222 4964.858|3187.085 5035.567|3178.144 5048.966|3174.544 5035.556|3152.692 4954.139|3126.275 4855.687|3106.974 4783.766|3105.744 4779.185|3104.521 4774.626|3085.227 4702.727|3042.711 4544.385|3040.027 4534.378|3034.658 4514.252|3031.925 4504.200|3003.411 4397.864|2983.669 4324.297|3006.186 4322.874|3047.898 4308.485|3073.099 4303.081|3098.383 4298.111|3117.174 4294.708|3135.999 4291.528|3154.866 4288.593|3173.768 4285.891|3183.373 4284.612|3183.003 4233.596|3096.587 4127.427|3029.338 4044.809|3029.205 3970.186|3029.128 3923.829|3029.108 3912.131|3029.087 3898.610|3028.835 3755.457|3056.804 3755.469|3106.967 3755.491|3225.058 3755.558|3225.023 3750.476|3224.967 3743.326|3224.939 3738.322|3607.367 3738.567|4054.687 3738.778|4054.792 3769.234|4055.072 3845.047|4055.344 3921.193|4055.624 3997.340|4055.813 4086.885|4056.246 4195.378|4056.421 4239.178|4056.785 4315.357|4057.064 4391.504|4057.344 4467.650|4045.180 4467.694|3937.835 4468.072|3934.843 4468.072|3918.681 4468.139|3918.786 4481.127|3918.806 4484.118|3919.023 4510.404|3919.058 4514.674|3919.219 4534.778|3920.100 4644.238|3758.081 4644.305|3595.895 4644.372|3596.692 4743.791|3580.614 4743.802|3577.622 4743.814|3576.623 4743.814|3576.783 4763.918|3577.371 4837.162|3577.420 4843.155|3577.727 4881.673|3577.916 4905.324|3577.993 4915.465|3578.209 4942.363|3578.328 4954.250|3506.201 4953.805|3506.194 4942.408|3470.451 4942.419
1600 32 AV NE,3470.297 4514.163|3470.304 4534.267|3470.416 4843.188|3506.159 4843.177|3506.124 4763.984|3506.117 4743.880|3506.026 4514.196|3529.185 4514.218|3528.913 4471.119|3693.420 4471.197|3693.329 4459.021|3528.829 4458.943|3528.675 4433.969|3467.837 4433.936|3468.340 4514.152
1600 32 AV NE,3470.458 4953.594|3458.484 4953.527|3442.755 4953.438|3432.011 4953.494|3421.273 4953.805|3410.550 4954.361|3399.833 4955.162|3390.326 4956.107|3380.840 4957.297|3371.389 4958.742|3361.987 4960.421|3352.627 4962.356|3343.315 4964.535|3334.074 4966.960|3324.889 4969.617|3315.787 4972.519|3306.755 4975.655|3297.814 4979.035|3288.965 4982.638|3280.212 4986.474|3271.565 4990.533|3263.023 4994.825|3254.599 4999.339|3254.327 4965.014|3240.206 4964.902|3234.222 4964.858|3187.085 5035.567|3178.144 5048.966|3174.544 5035.556|3152.692 4954.139|3126.275 4855.687|3106.974 4783.766|3105.744 4779.185|3104.521 4774.626|3085.227 4702.727|3042.711 4544.385|3040.027 4534.378|3034.658 4514.252|3031.925 4504.200|3003.411 4397.864|2983.669 4324.297|3006.186 4322.874|3047.898 4308.485|3073.099 4303.081|3098.383 4298.111|3117.174 4294.708|3135.999 4291.528|3154.866 4288.593|3173.768 4285.891|3183.373 4284.612|3183.003 4233.596|3096.587 4127.427|3029.338 4044.809|3029.205 3970.186|3029.128 3923.829|3029.108 3912.131|3029.087 3898.610|3028.835 3755.457|3056.804 3755.469|3106.967 3755.491|3225.058 3755.558|3225.023 3750.476|3224.967 3743.326|3224.939 3738.322|3607.367 3738.567|4054.687 3738.778|4054.792 3769.234|4055.072 3845.047|4055.344 3921.193|4055.624 3997.340|4055.813 4086.885|4056.246 4195.378|4056.421 4239.178|4056.785 4315.357|4057.064 4391.504|4057.344 4467.650|4045.180 4467.694|3937.835 4468.072|3934.843 4468.072|3918.681 4468.139|3918.786 4481.127|3918.806 4484.118|3919.023 4510.404|3919.058 4514.674|3919.219 4534.778|3920.100 4644.238|3758.081 4644.305|3595.895 4644.372|3596.692 4743.791|3580.614 4743.802|3577.622 4743.814|3576.623 4743.814|3576.783 4763.918|3577.371 4837.162|3577.420 4843.155|3577.727 4881.673|3577.916 4905.324|3577.993 4915.465|3578.209 4942.363|3578.328 4954.250|3506.201 4953.805|3506.194 4942.408|3470.451 4942.419
1600 32 AV NE,3470.297 4514.163|3470.304 4534.267|3470.416 4843.188|3506.159 4843.177|3506.124 4763.984|3506.117 4743.880|3506.026 4514.196|3529.185 4514.218|3528.913 4471.119|3693.420 4471.197|3693.329 4459.021|3528.829 4458.943|3528.675 4433.969|3467.837 4433.936|3468.340 4514.152
1600 32 AV NE,3470.458 4953.594|3458.484 4953.527|3442.755 4953.438|3432.011 4953.494|3421.273 4953.805|3410.550 4954.361|3399.833 4955.162|3390.326 4956.107|3380.840 4957.297|3371.389 4958.742|3361.987 4960.421|3352.627 4962.356|3343.315 4964.535|3334.074 4966.960|3324.889 4969.617|3315.787 4972.519|3306.755 4975.655|3297.814 4979.035|3288.965 4982.638|3280.212 4986.474|3271.565 4990.533|3263.023 4994.825|3254.599 4999.339|3254.327 4965.014|3240.206 4964.902|3234.222 4964.858|3187.085 5035.567|3178.144 5048.966|3174.544 5035.556|3152.692 4954.139|3126.275 4855.687|3106.974 4783.766|3105.744 4779.185|3104.521 4774.626|3085.227 4702.727|3042.711 4544.385|3040.027 4534.378|3034.658 4514.252|3031.925 4504.200|3003.411 4397.864|2983.669 4324.297|3006.186 4322.874|3047.898 4308.485|3073.099 4303.081|3098.383 4298.111|3117.174 4294.708|3135.999 4291.528|3154.866 4288.593|3173.768 4285.891|3183.373 4284.612|3183.003 4233.596|3096.587 4127.427|3029.338 4044.809|3029.205 3970.186|3029.128 3923.829|3029.108 3912.131|3029.087 3898.610|3028.835 3755.457|3056.804 3755.469|3106.967 3755.491|3225.058 3755.558|3225.023 3750.476|3224.967 3743.326|3224.939 3738.322|3607.367 3738.567|4054.687 3738.778|4054.792 3769.234|4055.072 3845.047|4055.344 3921.193|4055.624 3997.340|4055.813 4086.885|4056.246 4195.378|4056.421 4239.178|4056.785 4315.357|4057.064 4391.504|4057.344 4467.650|4045.180 4467.694|3937.835 4468.072|3934.843 4468.072|3918.681 4468.139|3918.786 4481.127|3918.806 4484.118|3919.023 4510.404|3919.058 4514.674|3919.219 4534.778|3920.100 4644.238|3758.081 4644.305|3595.895 4644.372|3596.692 4743.791|3580.614 4743.802|3577.622 4743.814|3576.623 4743.814|3576.783 4763.918|3577.371 4837.162|3577.420 4843.155|3577.727 4881.673|3577.916 4905.324|3577.993 4915.465|3578.209 4942.363|3578.328 4954.250|3506.201 4953.805|3506.194 4942.408|3470.451 4942.419
1600 32 AV NE,3470.297 4514.163|3470.304 4534.267|3470.416 4843.188|3506.159 4843.177|3506.124 4763.984|3506.117 4743.880|3506.026 4514.196|3529.185 4514.218|3528.913 4471.119|3693.420 4471.197|3693.329 4459.021|3528.829 4458.943|3528.675 4433.969|3467.837 4433.936|3468.340 4514.152
1660 42 AV NE,3506.026 4514.196|3506.117 4743.880|3506.124 4763.984|3506.159 4843.177|3470.416 4843.188|3470.304 4534.267|3470.297 4514.163
1515 MCKNIGHT BV NE,3506.201 4953.805|3506.208 4981.192|3470.465 4982.482|3470.458 4953.594|3470.451 4942.419|3506.194 4942.408
