ADDRESS,POINTS
132 TREELINE AV SW,-5101.852 -14581.431|-5093.876 -14584.911|-5085.760 -14588.058|-5077.525 -14590.871|-5069.178 -14593.340|-5060.741 -14595.464|-5052.220 -14597.232|-5043.635 -14598.644|-5035.002 -14599.711|-5034.757 -14597.321|-5034.750 -14597.299|-5029.011 -14540.700|-5035.561 -14538.988|-5040.720 -14537.420|-5045.823 -14535.697|-5050.870 -14533.806|-5055.855 -14531.760|-5060.776 -14529.547|-5065.613 -14527.179|-5070.381 -14524.655|-5075.057 -14521.975|-5103.781 -14575.560|-5102.873 -14578.318
790 BLUEROCK WY SW,-5633.855 -14156.411|-5636.260 -14156.400|-5664.522 -14156.333|-5664.529 -14175.347|-5631.220 -14175.303|-5631.220 -14170.544|-5631.325 -14168.053|-5631.639 -14165.573|-5632.163 -14163.138|-5632.884 -14160.747|-5633.499 -14158.601
4711 146 AV SW,-5687.654 -14139.709|-5685.165 -14145.191|-5684.389 -14146.392|-5683.306 -14147.337|-5681.992 -14147.927|-5680.573 -14148.116|-5679.258 -14147.915|-5678.049 -14147.371|-5666.214 -14140.098|-5664.942 -14139.542|-5663.565 -14139.364|-5662.209 -14139.565|-5652.184 -14142.556|-5631.688 -14145.558|-5630.080 -14143.078|-5628.109 -14140.888|-5625.816 -14139.031|-5623.265 -14137.563|-5623.265 -14134.950|-5623.251 -14098.245|-5623.251 -14096.443|-5859.018 -14095.865|-5859.095 -14101.858|-5853.908 -14104.194|-5848.589 -14106.184|-5843.150 -14107.830|-5837.621 -14109.131|-5822.444 -14112.177|-5802.647 -14117.326|-5795.146 -14118.026|-5772.029 -14125.587|-5770.491 -14126.021|-5768.925 -14126.332|-5767.338 -14126.521|-5765.738 -14126.577|-5763.249 -14126.399|-5731.456 -14122.140|-5713.749 -14121.162|-5712.631 -14121.140|-5710.499 -14121.251|-5708.388 -14121.607|-5706.332 -14122.174|-5704.347 -14122.963|-5702.460 -14123.964|-5700.691 -14125.165|-5699.062 -14126.544|-5697.587 -14128.089
910 ALPINE DR SW,-5905.128 -14215.855|-5912.321 -14212.787|-5925.330 -14243.599|-5867.729 -14268.184|-5854.894 -14238.917|-5854.293 -14237.550|-5877.844 -14227.498|-5877.145 -14226.085|-5876.600 -14224.618|-5876.208 -14223.094|-5875.977 -14221.538|-5875.914 -14219.959|-5876.012 -14218.391|-5876.278 -14216.845|-5876.704 -14215.333|-5877.285 -14213.865|-5878.012 -14212.475|-5878.885 -14211.174|-5879.892 -14209.962|-5881.017 -14208.861|-5882.248 -14207.894|-5883.583 -14207.060|-5884.988 -14206.371|-5886.463 -14205.826|-5887.987 -14205.448|-5889.539 -14205.225|-5891.105 -14205.181|-5892.671 -14205.292|-5894.216 -14205.559|-5895.718 -14206.004|-5897.172 -14206.593|-5898.557 -14207.338|-5899.857 -14208.216|-5901.052 -14209.239|-5902.136 -14210.374|-5903.093 -14211.619|-5903.918 -14212.953|-5904.596 -14214.377
245 ALPINE BV SW,-5307.351 -14556.879|-5302.933 -14554.211|-5301.577 -14553.388|-5249.463 -14390.843|-5252.413 -14385.406|-5270.162 -14380.346|-5287.764 -14374.820|-5305.219 -14368.826|-5322.513 -14362.388|-5328.357 -14364.912|-5334.852 -14380.913|-5338.088 -14389.475|-5340.919 -14398.182|-5343.331 -14407.011|-5345.316 -14415.940|-5346.882 -14424.958|-5348.015 -14434.042|-5348.721 -14443.171|-5348.986 -14452.323|-5349.504 -14545.293|-5349.532 -14550.107|-5345.086 -14554.622|-5332.880 -14554.689|-5326.470 -14554.855|-5320.074 -14555.278|-5313.698 -14555.945
535 ALPINE AV SW,-5306.219 -14585.534|-5309.238 -14580.386|-5315.152 -14579.452|-5321.101 -14578.762|-5327.078 -14578.340|-5333.069 -14578.173|-5350.286 -14578.084|-5354.781 -14582.554|-5354.851 -14595.419|-5354.656 -14605.160|-5354.285 -14614.878|-5353.747 -14624.597|-5353.027 -14634.304|-5352.139 -14644.000|-5351.076 -14653.674|-5349.839 -14663.337|-5348.434 -14672.967|-5347.427 -14680.673|-5346.819 -14688.434|-5346.596 -14696.206|-5346.756 -14703.979|-5344.387 -14704.746
125 BLUEROCK ST SW,-5414.599 -14308.625|-5409.076 -14305.523|-5406.825 -14296.739|-5404.847 -14287.888|-5403.141 -14278.970|-5401.708 -14270.019|-5400.562 -14261.012|-5399.688 -14251.983|-5399.101 -14242.931|-5398.793 -14233.869|-5403.218 -14229.366|-5435.878 -14229.366|-5435.899 -14303.144|-5425.217 -14305.779
268 VERANDA BV SW,-6010.607 -14794.047|-5959.304 -14794.303|-5959.206 -14755.006|-6010.537 -14754.751|-6010.537 -14755.351
1065 ALPINE AV SW,-5772.274 -14654.620|-5761.348 -14654.597|-5751.009 -14654.564|-5741.271 -14654.542|-5730.338 -14654.519|-5719.999 -14654.486|-5709.066 -14654.464|-5698.734 -14654.442|-5687.801 -14654.408|-5677.462 -14654.386|-5666.529 -14654.364|-5655.952 -14654.330|-5655.896 -14680.917|-5655.889 -14683.319|-5655.288 -14683.308|-5632.345 -14683.252|-5623.383 -14683.230|-5623.362 -14558.503|-5623.362 -14554.811|-5632.310 -14554.678|-5714.798 -14553.432|-5857.585 -14553.399|-5857.355 -14654.230|-5857.348 -14654.831|-5846.422 -14654.809|-5836.083 -14654.775|-5825.150 -14654.753|-5814.811 -14654.731|-5803.885 -14654.697|-5793.546 -14654.675|-5782.613 -14654.642
180 VERANDA BV SW,-6011.355 -14581.931|-6010.873 -14590.427|-6010.537 -14598.922|-6010.341 -14607.428|-6010.285 -14615.935|-6010.390 -14671.477|-6005.930 -14676.225|-5891.888 -14682.596|-5874.593 -14683.375|-5857.285 -14683.764|-5857.292 -14681.362|-5857.348 -14656.632|-5857.348 -14654.831|-5857.355 -14654.230|-5857.585 -14553.399|-5881.087 -14553.399|-5901.374 -14553.188|-5912.586 -14552.954|-5921.527 -14552.776|-5963.659 -14551.909|-5970.216 -14551.775|-5975.969 -14551.686|-5981.142 -14551.831|-5986.280 -14552.354|-5991.376 -14553.265|-5996.381 -14554.555|-5998.695 -14555.367|-6000.911 -14556.423|-6003.008 -14557.702|-6004.959 -14559.192|-6006.217 -14560.371|-6007.363 -14561.649|-6008.384 -14563.028|-6009.272 -14564.496|-6010.027 -14566.042|-6010.635 -14567.654|-6011.096 -14569.311|-6011.397 -14571.001|-6011.677 -14574.348|-6011.628 -14577.706
