ADDRESS,POINTS
180 APPLESTONE PA SE,10331.849 -670.690|10331.828 -657.691|10319.210 -657.714|10308.270 -657.736|10303.922 -657.747|10299.861 -659.570|10292.045 -663.084|10283.992 -666.709|10275.401 -670.568|10267.313 -674.204|10265.258 -675.127|10260.749 -680.764|10253.094 -689.693|10244.972 -698.433|10221.379 -675.460|10215.563 -681.276|10209.565 -686.902|10231.648 -711.343|10226.943 -715.524|10222.148 -719.605|10217.268 -723.585|10212.305 -727.455|10202.672 -734.483|10192.760 -741.110|10187.426 -744.446|10182.015 -747.670|10171.586 -753.441|10170.194 -754.164|10170.187 -775.791|10170.187 -786.766|10170.187 -797.730|10170.180 -808.694|10170.180 -819.658|10170.180 -830.622|10170.180 -840.974|10173.885 -840.974|10184.818 -840.963|10184.812 -872.442|10211.683 -872.442|10212.976 -872.309|10214.213 -871.919|10215.346 -871.297|10216.339 -870.463|10223.441 -863.102|10213.899 -853.839|10206.042 -846.222|10198.184 -838.594|10187.181 -827.920|10178.150 -819.146|10178.150 -808.527|10178.157 -786.277|10178.164 -776.203|10187.132 -764.138|10193.948 -754.976|10209.138 -754.965|10231.347 -754.965|10248.760 -754.953|10260.784 -773.801|10266.845 -783.286|10272.905 -792.782|10280.232 -804.257|10289.242 -794.928|10294.842 -788.790|10300.098 -782.363|10304.992 -775.669|10309.515 -768.708|10297.638 -762.726|10279.826 -753.775|10267.705 -731.636|10264.391 -709.653|10265.517 -707.762|10278.337 -686.291|10279.239 -684.778|10297.715 -674.282|10303.950 -670.734|10317.917 -670.712
919 APPLEWOOD DR SE,9966.415 -99.893|9895.937 -29.195|9801.489 -123.889|9897.335 -220.006|9941.739 -175.494|9936.817 -129.560
899 APPLEWOOD DR SE,9980.025 10.590|9957.824 32.851|9895.937 -29.195|9966.415 -99.893|9984.038 -117.562|10040.430 -61.030|10040.374 -42.750|10033.230 -42.761
119 APPLECREST CR SE,9815.868 107.474|9783.090 140.344|9732.346 89.461|9765.124 56.603|9793.680 85.235
707 APPLEWOOD DR SE,10178.569 -168.812|10179.694 -160.061|10180.666 -151.298|10181.484 -142.514|10182.155 -133.719|10182.672 -124.923|10183.036 -116.105|10183.246 -107.288|10183.309 -98.470|10183.211 -42.516|10151.823 -42.550|10040.374 -42.750|10040.430 -61.042|9984.038 -117.562|9966.415 -99.893|9936.817 -129.560|9941.739 -175.494|9897.335 -220.006|9937.314 -260.103|9941.620 -264.428|9948.953 -267.775|9965.213 -231.948|10037.774 -230.358|10036.390 -166.955|10147.468 -164.520
43 APPLETREE RD SE,9681.036 -770.098|9681.001 -836.382|9702.923 -836.393|9704.580 -836.237|9706.167 -835.748|9707.635 -834.958|9708.921 -833.913|9709.969 -832.623|9710.752 -831.155|9711.235 -829.565|9711.395 -827.908|9711.423 -770.109
133 APPLEBURN CL SE,10300.008 -14.595|10299.959 16.217|10246.398 16.128|10246.495 -41.304|10276.890 -41.260|10276.890 -40.548|10276.785 -38.614|10276.471 -36.712|10275.953 -34.844|10275.240 -33.054|10274.450 -30.930|10273.989 -28.706|10273.870 -26.438|10274.094 -24.169|10274.660 -21.968|10275.548 -19.888|10276.743 -17.954|10278.218 -16.230|10279.938 -14.740|10281.860 -13.528|10283.943 -12.627|10286.138 -12.049|10288.396 -11.816|10290.668 -11.916|10292.891 -12.360|10295.023 -13.139|10297.463 -14.051
55 APPLEWOOD WY SE,9716.610 -472.418|9775.107 -498.182|9787.731 -469.360|9729.214 -443.574
188 APPLEWOOD DR SE,10054.880 -612.057|10059.843 -643.147|10066.253 -641.968|10072.600 -640.523|10078.885 -638.788|10085.085 -636.787|10091.188 -634.518|10097.193 -631.983|10103.079 -629.192|10108.832 -626.156|10114.452 -622.854|10119.926 -619.318|10125.239 -615.548|10130.384 -611.557|10135.347 -607.331|10140.121 -602.906|10144.700 -598.269|10149.069 -593.443|10151.837 -590.129|10154.508 -586.738|10157.066 -583.269|10159.520 -579.721|10161.862 -576.096|10164.085 -572.405|10166.203 -568.635|10168.195 -564.810|10170.076 -560.929|10171.830 -556.993|10173.466 -553.001|10174.976 -548.954|10176.360 -544.873|10177.618 -540.736|10178.744 -536.578|10179.743 -532.386|10180.911 -526.504|10177.996 -525.825|10150.230 -519.465|10141.100 -519.643|10053.104 -521.411
6 APPLEGLEN PA SE,10119.185 388.242|10121.981 401.218|10114.424 398.983|10076.809 361.288|10086.679 351.392|10095.277 342.774|10103.876 334.145|10112.893 325.105|10121.918 316.054|10130.516 307.436|10139.115 298.807|10146.616 291.280|10126.413 265.293|10129.517 263.014|10132.711 260.868|10135.997 258.866|10139.359 256.998|10142.806 255.286|10146.322 253.718|10149.901 252.306|10153.536 251.049|10158.933 249.493|10167.028 280.394|10177.912 280.716|10187.761 281.005|10198.597 281.317|10209.411 281.628|10220.253 281.950|10231.193 282.273|10241.973 282.584|10249.459 251.494|10255.534 252.884|10256.744 253.184|10253.633 266.083|10251.060 276.758|10248.495 287.421|10245.782 298.685|10243.210 309.349|10240.644 320.012|10237.932 331.265|10235.360 341.940|10232.794 352.615|10230.271 363.089|10257.855 371.774|10215.521 380.958|10212.717 367.971|10210.278 356.640|10205.755 335.657|10205.203 333.089|10187.517 320.980|10173.920 311.673|10165.413 313.519|10140.121 319.000|10124.463 334.701|10110.636 348.567|10112.229 355.973|10116.745 376.922
