ADDRESS,POINTS
306 210 AV SW,813.881 -20326.172|813.874 -20329.675|813.378 -20545.160|840.151 -20545.182|844.590 -20545.182|844.597 -20541.690|845.024 -20326.195|840.543 -20326.195
590 BELMONT ST SW,845.492 -20079.153|845.485 -20069.223|841.025 -20069.212|729.996 -20069.156|726.528 -20069.145|726.528 -20069.746|726.500 -20078.508|726.528 -20079.064|726.535 -20079.097|845.492 -20079.186
483 BELMONT HE SW,320.521 -20078.841|329.455 -20078.853|338.396 -20078.853|347.330 -20078.864|356.264 -20078.875|365.197 -20078.875|374.138 -20078.886|383.072 -20078.886|395.229 -20078.897|395.194 -20078.297|394.823 -20069.490|394.802 -20068.890|392.404 -20068.878|383.652 -20068.878|382.170 -20068.878|374.719 -20068.867|373.230 -20068.867|372.300 -20068.867|365.785 -20068.867|364.296 -20068.867|356.851 -20068.856|355.362 -20068.856|347.910 -20068.856|346.428 -20068.856|338.976 -20068.845|337.494 -20068.845|336.131 -20068.845|330.042 -20068.845|328.560 -20068.845|321.109 -20068.834|319.620 -20068.834|312.168 -20068.834|310.686 -20068.834|303.234 -20068.823|301.752 -20068.823|300.025 -20068.823|294.300 -20068.823|292.818 -20068.823|283.696 -20068.812|282.207 -20068.812|269.777 -20068.801|268.233 -20068.801|261.675 -20068.801|253.937 -20068.789|252.231 -20068.789|243.549 -20068.789|196.993 -20068.756|183.885 -20083.601|183.878 -20088.838|183.858 -20096.310|183.858 -20097.789|183.837 -20105.228|183.837 -20106.718|183.823 -20112.978|183.816 -20114.457|183.802 -20120.729|183.802 -20122.208|183.788 -20129.646|183.781 -20131.136|183.767 -20138.575|183.760 -20140.054|183.746 -20147.493|183.746 -20148.983|183.725 -20156.422|183.725 -20157.901|183.711 -20164.161|183.704 -20165.651|183.690 -20171.912|183.690 -20173.391|183.676 -20180.907|183.669 -20182.386|183.655 -20189.903|183.648 -20191.382|183.620 -20200.433|183.627 -20202.813|184.214 -20202.824|241.948 -20202.868|242.543 -20202.868|242.550 -20200.478|242.550 -20199.477|242.571 -20190.604|242.591 -20181.608|242.612 -20172.612|242.633 -20162.827|242.647 -20153.831|242.675 -20141.856|242.703 -20131.359|242.731 -20116.359|242.773 -20098.645|245.688 -20095.699|260.403 -20080.799|262.361 -20078.808|276.733 -20078.819|289.714 -20078.830|301.298 -20078.830|311.581 -20078.841
76 BELMONT TC SW,559.631 -20069.001|556.883 -20068.990|555.087 -20068.990|539.694 -20068.979|538.114 -20068.979|525.839 -20068.979|524.336 -20068.967|515.143 -20068.967|513.654 -20068.967|504.231 -20068.956|502.742 -20068.956|495.297 -20068.956|493.808 -20068.956|486.363 -20068.945|484.874 -20068.945|477.423 -20068.945|475.934 -20068.934|468.489 -20068.934|467.000 -20068.934|459.555 -20068.934|458.066 -20068.923|450.621 -20068.923|449.132 -20068.923|441.680 -20068.912|440.191 -20068.912|432.746 -20068.912|431.257 -20068.912|423.197 -20068.901|419.835 -20068.901|419.835 -20069.512|420.261 -20078.308|420.303 -20078.908|433.921 -20078.919|445.266 -20078.930|455.794 -20078.930|465.476 -20078.942|475.158 -20078.953|484.839 -20078.953|494.521 -20078.964|504.196 -20078.964|513.878 -20078.975|523.553 -20078.975|533.353 -20078.986|533.277 -20113.968|533.871 -20113.968|542.609 -20113.968|543.203 -20113.968|543.280 -20078.997|553.115 -20078.997|554.611 -20078.997|563.545 -20079.008|572.479 -20079.008|579.931 -20079.008|581.028 -20079.008|581.007 -20078.419|581.091 -20048.285|581.098 -20047.418|579.777 -20048.752|568.543 -20060.038|567.495 -20061.095
275 BELMONT HE SW,149.122 -20078.719|183.899 -20078.741|183.920 -20068.745|149.171 -20068.723|149.171 -20069.323|149.150 -20078.119
95 BELMONT HE SW,238.698 -20063.886|225.947 -20051.009|223.738 -20048.786|223.773 -20034.097|223.773 -20032.518|223.801 -20019.875|223.808 -20018.396|223.829 -20008.911|223.829 -20007.399|223.843 -19999.971|223.850 -19998.403|223.864 -19990.975|223.871 -19989.407|223.885 -19981.980|223.892 -19980.412|223.906 -19972.984|223.913 -19971.416|223.927 -19963.988|223.927 -19962.420|223.941 -19954.993|223.948 -19953.425|223.976 -19941.849|223.382 -19941.849|219.006 -19941.838|184.794 -19941.816|184.193 -19941.816|184.172 -19953.258|184.165 -19954.792|184.151 -19962.254|184.144 -19963.788|184.137 -19970.082|184.123 -19971.605|184.116 -19977.910|184.109 -19979.433|184.102 -19985.738|184.095 -19987.261|184.081 -19993.555|184.074 -19995.078|184.067 -20001.383|184.046 -20010.401|184.025 -20019.419|184.025 -20020.942|184.011 -20027.247|184.004 -20028.770|183.990 -20035.075|183.990 -20036.599|183.976 -20042.903|183.969 -20044.427|183.955 -20050.731|183.955 -20052.244|183.941 -20058.548|183.920 -20068.745|183.899 -20078.741|183.885 -20083.601|196.993 -20068.756|243.549 -20068.789
84 BELMONT HE SW,215.028 -19925.848|215.615 -19925.860|224.353 -19925.860|224.955 -19925.860|225.031 -19890.889|224.430 -19890.878|215.692 -19890.878|215.105 -19890.878|215.098 -19893.613|215.091 -19895.114|215.077 -19903.154|215.070 -19904.655|215.056 -19912.705|215.049 -19914.195|215.028 -19923.435
106 BELMONT BV SW,225.654 -19607.064|225.059 -19607.064|216.321 -19607.064|215.727 -19607.064|215.720 -19610.355|215.713 -19611.856|215.699 -19619.907|215.692 -19621.408|215.678 -19628.836|215.671 -19630.337|215.657 -19637.776|215.657 -19639.277|215.636 -19646.705|215.636 -19648.206|215.615 -19656.245|215.615 -19657.746|215.594 -19665.797|215.594 -19667.298|215.573 -19674.726|215.573 -19676.227|215.552 -19683.666|215.552 -19685.167|215.538 -19692.595|215.531 -19694.096|215.517 -19702.146|215.510 -19703.636|215.496 -19711.075|215.489 -19712.577|215.475 -19720.004|215.468 -19721.505|215.447 -19732.981|216.049 -19732.981|224.787 -19732.981|225.381 -19732.981|225.416 -19720.838|225.416 -19719.337|225.437 -19711.287|225.437 -19709.797|225.458 -19701.746|225.458 -19700.245|225.479 -19692.206|225.486 -19690.704|225.500 -19681.409|225.521 -19672.713|225.528 -19671.212|225.542 -19663.784|225.549 -19662.283|225.570 -19650.963|225.577 -19649.451|225.605 -19633.828|225.612 -19632.160|225.661 -19610.911|225.661 -19608.865
505 BELMONT WY SW,601.434 -19558.638|608.983 -19547.063|609.815 -19545.795|609.424 -19545.384|597.183 -19533.508|588.354 -19524.846|579.400 -19516.329|570.305 -19507.945|561.085 -19499.716|560.623 -19499.260|554.227 -19506.644|550.543 -19510.891|547.390 -19514.183|543.937 -19517.151|542.749 -19518.052|539.708 -19520.087|536.527 -19521.877|544.895 -19529.761|556.869 -19541.047|564.608 -19548.331|578.959 -19561.863|591.633 -19573.794|593.737 -19570.425|594.520 -19569.235|595.345 -19567.968|600.616 -19559.884
455 BELMONT ST SW,581.098 -20047.418|581.028 -20079.008|581.434 -20079.008|590.969 -20079.008|599.903 -20079.019|608.837 -20079.019|617.777 -20079.031|627.305 -20079.031|636.239 -20079.042|645.173 -20079.053|654.114 -20079.053|663.642 -20079.064|672.576 -20079.064|681.517 -20079.075|690.450 -20079.075|701.467 -20079.086|701.838 -19917.020|702.320 -19792.270|702.138 -19783.297|702.048 -19781.339|701.768 -19779.405|701.307 -19777.492|700.649 -19775.646|699.825 -19773.867|698.825 -19772.188|697.665 -19770.609|696.357 -19769.153|694.910 -19767.829|693.344 -19766.651|691.674 -19765.639|689.912 -19764.805|688.074 -19764.138|686.179 -19763.659|684.243 -19763.370|682.293 -19763.270|660.454 -19763.259|552.451 -19763.181|547.970 -19767.674|547.887 -19805.157|547.845 -19824.150|547.943 -19826.640|548.257 -19829.098|548.767 -19831.533|549.487 -19833.912|550.026 -19835.736|550.375 -19837.604|550.529 -19839.506|550.494 -19841.407|550.270 -19843.297|549.858 -19845.154|549.257 -19846.956|548.481 -19848.690|549.690 -19849.558|581.490 -19872.441|581.448 -19891.122|581.413 -19908.902|581.371 -19925.415|581.343 -19939.848|581.315 -19950.745|581.294 -19959.741|581.273 -19968.736|581.252 -19978.877|581.231 -19989.018|581.210 -19998.014|581.189 -20007.010|581.168 -20017.373|581.133 -20030.683
