ADDRESS,POINTS
2955 CONRAD DR NW,-3509.904 5439.349|-3473.980 5522.534|-3475.489 5529.862|-3490.980 5544.495|-3497.426 5544.306|-3597.180 5438.448|-3595.747 5435.124|-3516.272 5435.157
3836 CHARLESWOOD DR NW,-3259.707 4311.254|-3259.798 4458.154|-3363.327 4345.146|-3259.672 4249.852
2150 CHICOUTIMI DR NW,-2740.077 4130.496|-2847.891 4148.643|-2860.831 4104.443|-2822.376 3994.882|-2792.198 3935.260|-2727.145 3968.373|-2705.118 4099.917|-2701.098 4123.946
375 CAPRI CR NW,-3552.804 5106.064|-3552.972 5228.890|-3557.544 5233.460|-3624.995 5233.449|-3632.146 5229.691|-3663.806 5183.589|-3662.639 5177.240|-3556.558 5104.085
2836 CANMORE RD NW,-3049.483 3723.556|-3048.861 3723.089|-2903.046 3605.433|-2750.954 3482.696|-2461.374 3257.871|-2460.787 3257.460|-2459.256 3256.782|-2457.606 3256.537|-2455.949 3256.726|-2454.404 3257.349|-2453.069 3258.349|-2452.049 3259.673|-2451.406 3261.207|-2451.182 3262.864|-2451.126 3506.225|-2451.231 3511.073|-2451.545 3515.910|-2452.077 3520.736|-2452.811 3525.529|-2453.754 3530.288|-2454.908 3535.002|-2456.264 3539.661|-2457.816 3544.254|-2459.577 3548.779|-2461.528 3553.216|-2463.667 3557.575|-2466.002 3561.834|-2468.518 3565.981|-2471.210 3570.018|-2474.076 3573.932|-2477.110 3577.723|-2608.663 3734.775|-2623.819 3764.676|-2706.733 3722.433|-2714.800 3738.356|-2716.156 3741.024|-2751.367 3810.510|-2780.335 3795.766|-2790.087 3790.806|-2834.323 3768.278|-2859.810 3818.605|-3041.388 3818.483|-3041.297 3758.048|-3061.311 3733.130
3323 MORLEY CR NW,-3517.677 3817.415|-3574.628 3869.744|-3581.067 3869.466|-3599.018 3849.840|-3597.900 3844.691|-3521.032 3812.178
3425 CHARLESWOOD CR NW,-3705.218 3921.427|-3696.242 3912.554|-3689.908 3912.720|-3663.757 3941.286|-3664.030 3947.736|-3694.949 3976.157|-3701.394 3975.879|-3726.322 3948.648|-3726.154 3942.076
3215 CONRAD DR NW,-3712.537 5747.470|-3712.725 5753.930|-3847.054 5880.815|-3852.563 5879.937|-3854.359 5875.978|-3855.869 5871.908|-3857.079 5867.739|-3857.987 5863.491|-3858.596 5859.188|-3858.889 5854.851|-3858.875 5850.503|-3858.547 5846.178|-3857.911 5841.875|-3856.974 5837.638|-3855.729 5833.468|-3854.192 5829.410|-3852.367 5825.462|-3850.270 5821.659|-3847.900 5818.012|-3845.279 5814.554|-3764.839 5715.957|-3742.232 5715.969
291 CARRAGANA CR NW,-3171.879 4898.719|-3163.679 4920.613|-3162.617 4923.794|-3161.799 4927.029|-3161.212 4930.332|-3160.869 4933.668|-3160.778 4937.015|-3160.925 4940.362|-3161.316 4943.686|-3161.953 4946.967|-3162.833 4950.202|-3163.938 4953.360|-3165.280 4956.429|-3166.832 4959.398|-3168.608 4962.245|-3170.579 4964.947|-3172.746 4967.504|-3175.095 4969.895|-3231.284 5022.957|-3238.030 5023.080|-3283.531 4983.205|-3308.997 4949.980|-3307.501 4944.754|-3177.751 4896.039
4032 CHARLESWOOD DR NW,-3109.084 4663.131|-3083.030 4741.100|-3085.854 4747.027|-3103.736 4753.743|-3110.062 4751.264|-3147.860 4676.107|-3145.588 4670.569|-3114.858 4660.251
165 CAPILANO CR NW,-2730.815 4733.172|-2722.280 4755.989|-2724.950 4761.872|-2783.824 4783.977|-2789.696 4781.308|-2798.238 4758.480|-2795.568 4752.609|-2736.687 4730.504
