ADDRESS,POINTS
10780 CITYSCAPE DR NE,7584.732 11745.602|7584.627 11747.548|7584.074 11757.645|7583.578 11766.474|7572.967 11766.107|7421.231 11760.703|7328.174 11753.164|7325.616 11752.875|7323.071 11752.430|7320.561 11751.840|7318.087 11751.107|7315.661 11750.239|7313.291 11749.216|7310.984 11748.060|7308.754 11746.770|7306.601 11745.358|7304.532 11743.812|7302.561 11742.155|7300.687 11740.387|7298.926 11738.508|7297.276 11736.529|7295.745 11734.461|7294.340 11732.303|7273.557 11698.044|7437.617 11572.872|7439.742 11574.251|7447.075 11578.899|7454.576 11583.269|7462.223 11587.372|7470.025 11591.186|7477.952 11594.711|7486.005 11597.947|7494.177 11600.893|7502.447 11603.540|7510.807 11605.886|7519.245 11607.921|7527.752 11609.655|7536.322 11611.068|7544.935 11612.180|7553.582 11612.969|7562.257 11613.447|7570.939 11613.603|7594.385 11613.614|7594.378 11627.825|7594.378 11637.310|7594.371 11646.806|7594.364 11656.302|7594.357 11666.621|7622.326 11666.632|7622.326 11673.626|7594.357 11673.615|7594.350 11685.201|7594.343 11696.799|7594.336 11708.385|7594.336 11717.882|7594.329 11726.410|7593.847 11727.378|7588.800 11737.463
10780 CITYSCAPE DR NE,7577.133 11731.547|7577.783 11721.051|7578.300 11710.543|7578.699 11700.024|7578.957 11689.505|7579.097 11678.986|7579.104 11668.466|7578.978 11657.947|7578.727 11647.428|7578.587 11645.583|7578.279 11643.759|7577.804 11641.980|7577.168 11640.245|7576.371 11638.577|7575.420 11636.998|7574.330 11635.508|7573.106 11634.118|7571.757 11632.851|7570.303 11631.717|7568.744 11630.727|7567.102 11629.871|7565.382 11629.181|7563.613 11628.648|7561.803 11628.281|7559.957 11628.080|7549.234 11627.258|7538.538 11626.057|7527.892 11624.478|7517.308 11622.532|7506.802 11620.230|7496.379 11617.550|7486.054 11614.515|7475.841 11611.134|7469.598 11608.866|7463.405 11606.464|7457.267 11603.929|7451.185 11601.260|7448.047 11600.093|7444.775 11599.348|7441.434 11599.059|7438.085 11599.214|7434.793 11599.815|7431.605 11600.860|7428.585 11602.317|7425.789 11604.162|7328.440 11678.407|7327.035 11679.553|7325.720 11680.809|7324.497 11682.155|7323.372 11683.589|7322.358 11685.101|7321.456 11686.680|7320.673 11688.315|7320.009 11690.016|7319.471 11691.751|7319.065 11693.519|7318.786 11695.320|7318.632 11697.121|7318.618 11698.945|7318.737 11700.757|7318.982 11702.559|7319.359 11704.338|7319.869 11706.084|7320.498 11707.785|7321.253 11709.442|7322.127 11711.032|7323.120 11712.555|7324.210 11714.012|7325.413 11715.380|7326.706 11716.658|7328.090 11717.837|7329.558 11718.916|7331.103 11719.883|7332.711 11720.739|7334.375 11721.473|7336.094 11722.085|7337.849 11722.563|7339.631 11722.930|7374.381 11728.300|7396.932 11731.581|7419.512 11734.694|7442.105 11737.663|7464.726 11740.465|7487.361 11743.112|7510.017 11745.602|7532.687 11747.926|7555.379 11750.095|7557.364 11750.173|7559.356 11750.061|7561.320 11749.739|7563.250 11749.238|7565.116 11748.538|7566.906 11747.660|7568.591 11746.614|7570.170 11745.391|7571.617 11744.035|7572.925 11742.522|7574.071 11740.899|7575.057 11739.175|7575.861 11737.352|7576.476 11735.461|7576.902 11733.527
10510 CITYSCAPE DR NE,7261.289 11040.304|7302.806 11040.182|7305.637 11040.249|7308.461 11040.438|7311.278 11040.760|7314.074 11041.216|7316.842 11041.816|7319.583 11042.528|7322.288 11043.384|7324.944 11044.363|7326.559 11045.141|7328.041 11046.153|7329.348 11047.365|7330.467 11048.766|7331.362 11050.323|7332.012 11051.991|7332.410 11053.736|7332.536 11055.516|7332.536 11072.984|7278.080 11073.918|7278.080 11076.909|7278.115 11097.436|7261.275 11097.714|7261.275 11097.203
11015 CITYSCAPE DR NE,7890.502 11551.412|7893.165 11550.144|7895.976 11549.288|7898.059 11548.932|7900.163 11548.787|7901.771 11548.821|7903.371 11548.988|7904.958 11549.277|7906.510 11549.688|7907.566 11550.044|7909.111 11550.678|7910.607 11551.434|7911.998 11552.312|7913.319 11553.302|7914.556 11554.392|7915.703 11555.581|7975.947 11555.615|7975.870 11559.896|7975.870 11566.901|7975.863 11582.491|7975.863 11584.881|7973.430 11584.881|7936.311 11584.692|7934.346 11584.492|7928.614 11583.135|7922.987 11581.379|7917.499 11579.233|7912.179 11576.708|7910.593 11575.963|7908.174 11575.063|7905.671 11574.407|7903.120 11574.018|7900.540 11573.895|7897.961 11574.029|7895.409 11574.429|7892.914 11575.085|7890.495 11575.997|7888.272 11577.098|7886.168 11578.410|7884.204 11579.922|7882.393 11581.623|7880.869 11582.913|7879.107 11583.881|7877.199 11584.470|7875.200 11584.681|7778.591 11584.659|7778.605 11569.870|7778.612 11560.919|7778.612 11560.329|7778.612 11559.129|7778.619 11555.481|7885.378 11555.559|7886.524 11554.369|7887.769 11553.269|7889.097 11552.279
17 CITYSIDE PA NE,7779.256 10931.289|7779.955 10938.083|7780.877 10944.843|7782.024 10951.582|7783.387 10958.276|7784.498 10963.891|7785.351 10969.551|7785.938 10975.244|7786.267 10980.970|7786.337 10986.686|7786.141 10992.412|7785.687 10998.117|7784.967 11003.799|7784.226 11008.213|7783.331 11012.594|7782.275 11016.942|7781.066 11021.256|7779.703 11025.515|7778.186 11029.729|7776.522 11033.877|7774.712 11037.969|7762.905 11037.980|7731.154 11038.013|7733.405 11021.067|7734.384 11014.296|7745.771 10940.840|7746.226 10937.482|7746.554 10934.102|7751.378 10933.690
131 CITYSCAPE WY NE,7663.346 11239.877|7663.339 11259.225|7663.325 11283.754|7646.318 11283.743|7645.821 11283.743|7645.325 11283.743|7645.325 11281.742|7645.346 11239.877|7645.842 11239.877
10577 CITYSCAPE DR NE,7558.818 11228.279|7559.685 11230.414|7560.880 11232.382|7562.376 11234.128|7564.124 11235.629|7566.088 11236.830|7568.220 11237.708|7570.464 11238.242|7572.757 11238.420|7537.378 11238.565|7499.713 11276.282|7499.720 11289.914|7361.239 11289.981|7361.288 11200.236|7361.428 11198.779|7361.854 11197.378|7362.546 11196.077|7363.476 11194.943|7364.608 11194.009|7365.909 11193.319|7367.314 11192.886|7368.775 11192.741|7491.541 11192.819|7492.995 11192.752|7494.436 11192.519|7495.841 11192.141|7497.204 11191.629|7498.497 11190.962|7499.720 11190.173|7500.860 11189.261|7501.887 11188.238|7532.093 11188.249|7532.093 11189.394|7532.086 11200.992|7532.086 11201.581|7532.079 11211.377|7532.079 11212.578|7532.079 11213.179|7532.072 11224.776|7555.749 11224.788|7556.630 11224.788|7557.650 11224.788|7558.147 11224.788|7558.377 11226.556
10637 CITYSCAPE DR NE,7499.720 11289.914|7499.713 11276.282|7537.378 11238.565|7572.764 11238.420|7575.001 11238.242|7576.734 11238.042|7578.482 11237.998|7601.991 11238.387|7601.991 11238.887|7601.991 11244.391|7601.984 11255.277|7601.977 11264.173|7601.977 11264.773|7601.977 11265.974|7601.977 11273.669|7601.977 11274.269|7601.977 11275.871|7601.970 11283.165|7601.970 11283.765|7601.970 11284.966|7601.963 11293.250|7601.963 11293.851|7601.963 11295.052|7601.963 11302.746|7601.963 11303.347|7601.956 11304.548|7601.956 11314.344|7601.956 11314.944|7601.956 11316.145|7601.949 11323.840|7601.949 11324.441|7601.949 11325.630|7601.942 11333.336|7601.942 11333.937|7601.942 11335.126|7601.942 11344.389|7601.159 11344.389|7599.964 11344.389|7599.363 11344.389|7591.673 11344.389|7590.471 11344.389|7589.870 11344.389|7580.083 11344.389|7578.887 11344.389|7578.286 11344.389|7570.597 11344.378|7569.394 11344.378|7568.800 11344.378|7559.007 11344.378|7557.811 11344.378|7557.210 11344.378|7549.520 11344.378|7548.318 11344.378|7547.724 11344.378|7537.930 11344.378|7536.735 11344.378|7536.134 11344.378|7527.242 11344.378|7515.057 11344.367|7498.434 11344.367|7487.746 11355.064|7485.621 11357.187|7476.477 11366.350|7474.666 11368.151|7474.673 11385.320|7474.680 11392.147|7474.597 11394.938|7474.156 11398.986|7473.359 11402.977|7472.206 11406.880|7470.703 11410.661|7468.892 11414.242|7466.774 11417.644|7466.173 11416.955|7459.993 11409.872|7437.638 11409.883|7431.214 11409.883|7427.858 11411.684|7418.526 11416.677|7417.470 11417.244|7410.158 11421.147|7409.103 11421.714|7408.571 11422.003|7400.735 11426.195|7392.892 11430.387|7391.836 11430.954|7391.305 11431.243|7383.196 11435.580|7372.536 11441.284|7372.095 11441.518|7369.551 11433.400|7367.342 11425.183|7365.468 11416.888|7363.930 11408.526|7362.728 11400.109|7361.875 11391.647|7361.365 11383.151|7361.197 11374.645|7361.239 11289.981
131 CITYSIDE PA NE,7780.626 10803.603|7759.556 10858.234|7757.256 10864.683|7755.285 10871.232|7750.294 10870.943|7754.055 10807.240|7754.327 10803.937|7754.754 10800.635|7755.334 10797.365|7756.061 10794.130
58 CITYSPRING CM NE,8244.926 11412.118|8299.165 11412.073|8299.165 11413.574|8299.172 11433.567|8252.811 11433.601|8236.845 11428.764|8238.900 11427.674|8240.753 11426.262|8242.340 11424.560|8243.626 11422.626|8244.570 11420.502|8245.150 11418.245|8245.346 11415.932|8245.150 11413.608|8245.115 11413.419
8808 CITYSCAPE DR NE,8483.644 10422.183|8455.619 10443.943|8457.199 10446.190|8467.202 10460.678|8470.187 10464.993|8464.189 10469.151|8461.973 10470.686|8448.978 10451.872|8443.749 10444.633|8438.213 10437.605|8445.916 10431.256|8450.271 10436.716|8478.135 10415.077
15 SKYVIEW PY NE,8526.600 10882.563|8544.035 10884.831|8558.533 10885.832|8560.050 10885.943|8558.861 10892.126|8557.435 10898.264|8555.793 10904.335|8553.919 10910.351|8512.277 10910.406
171 CITYSIDE VW NE,8207.583 10576.855|8202.725 10592.088|8111.429 10592.033|8111.415 10576.810|8120.146 10576.810|8134.232 10576.821|8148.311 10576.833|8176.301 10576.844|8178.020 10576.844|8179.831 10576.844|8181.802 10576.855|8182.459 10576.855
172 CITYSIDE VW NE,8244.549 10576.877|8256.181 10576.888|8267.820 10576.899|8287.086 10576.910|8308.113 10576.921|8293.950 10580.913|8273.538 10592.133|8246.744 10592.111|8219.495 10592.100|8223.682 10578.967|8224.332 10576.866
11218 CITYSCAPE DR NE,8151.016 11583.224|8157.755 11582.035|8164.529 11581.090|8171.337 11580.389|8178.160 11579.944|8184.990 11579.822|8193.239 11579.844|8288.568 11580.089|8290.036 11580.233|8291.441 11580.656|8292.741 11581.356|8293.880 11582.279|8294.810 11583.425|8295.502 11584.714|8295.922 11586.127|8296.061 11587.583|8296.068 11628.970|8295.985 11646.372|8295.726 11663.774|8295.293 11681.176|8294.684 11698.567|8294.349 11709.420|8184.885 11709.731|8184.612 11706.262|8184.193 11702.815|8183.627 11699.379|8182.914 11695.976|8182.047 11692.596|8181.040 11689.271|8179.894 11685.980|8178.607 11682.755|8177.181 11679.575|8175.616 11676.473|8173.917 11673.426|8172.092 11670.457|8170.142 11667.577|8168.073 11664.786|8165.878 11662.073|8163.571 11659.471|8161.152 11656.958|8158.629 11654.556|8156.007 11652.265|8153.288 11650.086|8150.478 11648.029|8147.577 11646.094|8144.599 11644.282|8141.544 11642.603|8138.426 11641.057|8135.239 11639.645|8131.988 11638.377|8128.695 11637.243|8125.354 11636.242|8121.971 11635.397|8118.552 11634.697|8115.113 11634.152|8114.833 11589.863
11158 CITYSCAPE DR NE,8022.335 11606.831|8114.833 11589.863|8115.113 11634.152|8110.737 11633.662|8106.347 11633.418|8101.950 11633.418|8097.553 11633.651|8093.184 11634.118|8088.843 11634.830|8084.544 11635.775|8080.307 11636.943|8076.141 11638.344|8072.052 11639.967|8068.060 11641.813|8064.173 11643.870|8060.406 11646.139|8056.770 11648.596|8053.268 11651.265|8049.920 11654.100|8046.732 11657.125|8043.712 11660.316|8040.867 11663.663|8038.211 11667.166|8035.750 11670.802|8033.492 11674.571|8031.437 11678.452|8029.605 11682.433|8027.984 11686.513|8026.593 11690.683|8025.425 11694.909|8024.495 11699.201|8023.796 11703.537|8023.335 11707.896|8023.118 11712.277|8023.132 11716.669|7914.004 11716.681|7914.004 11641.224|7914.675 11636.098|7915.654 11631.027|7916.947 11626.023|7918.541 11621.109|7919.296 11619.363|7920.274 11617.728|7921.456 11616.227|7922.819 11614.893|7924.098 11613.892|7925.454 11612.991|7926.880 11612.213|7928.369 11611.557|7929.907 11611.034|7931.480 11610.634|7933.088 11610.367|7934.710 11610.245|7936.304 11610.189|7940.316 11610.056|7944.930 11609.989|7975.849 11610.267|7984.384 11610.267|7993.919 11610.056|8003.440 11609.411|8012.919 11608.332
