ADDRESS,POINTS
877 NORTHMOUNT DR NW,-2019.338 4024.716|-2076.632 4075.577|-2050.432 4105.288|-2130.368 4176.219|-2137.198 4182.279|-2142.573 4187.038|-2232.569 4085.317|-2344.829 3958.422|-2185.642 3818.449|-2185.614 3836.619|-2167.341 3857.290|-2103.524 3929.489|-2103.420 3979.237|-2059.533 3979.248|-2025.385 4017.877
3716 COLLINGWOOD DR NW,-2232.569 4085.317|-2331.491 4159.251|-2342.424 4126.582|-2394.426 4017.555|-2399.641 4006.613|-2344.829 3958.422
3507 COLLINGWOOD DR NW,-2401.969 3889.981|-2428.372 3953.229|-2412.594 3889.014|-2407.533 3886.823
1924 CANBERRA RD NW,-2432.965 3983.307|-2414.230 4022.681|-2416.404 4028.775|-2489.532 4063.745|-2676.611 4095.113|-2681.861 4091.377|-2687.341 4058.675|-2683.650 4053.160|-2497.731 4011.050|-2439.130 3981.205
1821 CAYUGA DR NW,-2257.252 4662.019|-2177.812 4635.310|-2171.933 4638.156|-2168.878 4646.629|-2171.535 4652.678|-2249.500 4685.158
1821 CAYUGA DR NW,-2249.500 4685.158|-2287.696 4701.081|-2402.437 4735.974|-2408.253 4732.961|-2412.881 4719.151|-2410.008 4713.368|-2257.252 4662.019
1625 CHESTER PL NW,-1817.684 3603.877|-1817.677 3622.613|-1822.235 3627.172|-1840.221 3627.172|-1846.806 3623.080|-1855.223 3606.112|-1851.000 3599.295|-1822.249 3599.306
3320 CAROL DR NW,-1721.481 3808.842|-1721.488 3796.666|-1733.651 3796.677|-1733.651 3799.724|-1783.801 3799.758|-1827.401 3838.498|-1844.674 3818.972|-1887.882 3731.851|-1885.694 3729.527|-1715.602 3729.527|-1645.536 3729.516|-1645.466 3808.787
60 CONSTABLE RD NW,-2088.726 3851.341|-2103.643 3851.408|-2103.524 3929.489|-2167.341 3857.290|-2167.445 3782.111|-2109.592 3731.239|-2102.595 3745.339|-2129.536 3769.045|-2123.916 3780.365|-2116.345 3795.643|-2108.767 3810.910|-2101.197 3826.189|-2093.626 3841.467
3826 COLLINGWOOD DR NW,-2142.573 4187.038|-2149.144 4192.731|-2155.855 4198.247|-2162.713 4203.606|-2169.696 4208.777|-2176.806 4213.781|-2184.041 4218.595|-2191.395 4223.232|-2198.861 4227.691|-2206.438 4231.950|-2214.128 4236.020|-2221.908 4239.889|-2229.786 4243.570|-2237.756 4247.050|-2245.809 4250.330|-2253.939 4253.411|-2262.145 4256.279|-2290.981 4265.964|-2296.748 4263.085|-2331.491 4159.251|-2232.569 4085.317
48 CARMANGAY CR NW,-2442.891 4173.239|-2430.217 4211.168|-2433.091 4216.950|-2468.742 4228.914|-2473.817 4225.856|-2479.703 4190.697|-2476.341 4184.214|-2448.449 4170.882
3339 CONSTABLE PL NW,-1912.747 3851.385|-1986.874 3851.374|-1999.303 3826.322|-1973.124 3813.290|-1970.726 3814.168|-1968.217 3814.635|-1965.665 3814.669|-1963.142 3814.280|-1960.723 3813.479|-1958.472 3812.267|-1956.452 3810.710|-1954.725 3808.831|-1901.877 3837.742|-1895.110 3851.385
3204 COLLINGWOOD DR NW,-1887.693 3169.638|-1887.700 3162.021|-1887.707 3154.705|-1887.714 3147.088|-1887.721 3139.482|-1887.728 3131.865|-1887.735 3124.248|-1887.735 3116.631|-1887.742 3109.015|-1887.749 3101.398|-1887.756 3093.781|-1887.763 3086.164|-1887.777 3078.558|-1887.784 3070.941|-1887.791 3063.325|-1883.380 3063.325|-1883.289 3043.165|-1883.310 3028.309|-1883.289 2967.297|-1883.262 2965.796|-1874.440 2965.807|-1865.506 2965.807|-1845.793 2965.818|-1845.723 2959.769|-1845.709 2952.152|-1845.695 2944.535|-1845.681 2936.918|-1845.855 2929.235|-1650.451 2929.368|-1645.893 2933.938|-1645.599 3574.677|-1650.157 3579.236|-1938.773 3578.591|-1975.067 3611.015|-2031.669 3661.520|-2108.593 3729.149|-2108.173 3729.994|-2109.592 3731.239|-2167.445 3782.111|-2185.670 3798.134|-2185.642 3818.116|-2185.642 3818.449|-2344.829 3958.422|-2399.641 4006.613|-2407.373 3990.412|-2407.435 3987.888|-2408.204 3957.076|-2378.006 3884.699|-2294.553 3737.032|-2310.897 3723.322|-2396.719 3651.234|-2457.921 3599.829|-2458.487 3593.391|-2453.712 3587.364|-2449.287 3581.059|-2446.512 3576.689|-2443.912 3572.219|-2441.486 3567.660|-2439.235 3563.001|-2436.355 3556.263|-2433.838 3549.391|-2431.699 3542.386|-2429.945 3535.280|-2428.575 3528.086|-2427.596 3520.836|-2427.009 3513.531|-2426.820 3506.214|-2426.869 3455.509|-2426.883 3445.435|-2426.946 3379.763|-2375.244 3379.785|-2375.314 3317.249|-2291.743 3317.260|-2291.834 3228.983|-2207.969 3229.027|-2186.690 3229.038|-2115.639 3229.061|-2051.019 3227.782|-2030.956 3227.793|-1991.894 3227.793|-1985.812 3227.804|-1946.749 3227.804|-1926.686 3227.804|-1926.742 3177.244|-1887.686 3177.255
