ADDRESS,POINTS
240 HUNTWELL RD NE,1548.979 8091.648|1547.874 8106.637|1533.921 8206.768|1530.713 8193.636|1526.239 8175.356|1521.618 8156.441|1518.941 8145.511|1513.020 8139.340|1496.487 8122.127|1499.067 8118.190|1501.520 8114.176|1523.603 8137.160|1536.634 8113.787|1542.960 8102.445
6600 4 ST NW,199.083 7097.254|199.174 7158.189|12.339 7158.767|12.081 6976.018|198.915 6975.396
8030R HUNTINGTON ST NE,1213.974 8320.676|1215.645 8315.773|1217.197 8310.824|1218.623 8305.843|1219.923 8300.828|1220.315 8510.909|1220.231 8516.557|1219.958 8522.195|1219.497 8527.821|1218.847 8533.426|1218.008 8539.008|1216.980 8544.567|1215.771 8550.071|1214.373 8555.542
320 64 AV NW,397.822 7096.654|199.083 7097.254|198.915 6975.396|397.661 6974.806|397.710 7013.736
445 78 AV NE,945.931 8106.148|927.358 8106.181|920.794 8106.404|914.251 8107.071|907.770 8108.149|901.381 8109.651|830.323 8128.832|825.087 8130.066|819.781 8130.944|814.433 8131.489|809.058 8131.667|808.820 8000.846|945.743 8000.635|945.875 8072.834
6701 CENTRE ST NW,565.034 7129.723|519.918 7187.556|511.019 7136.606|534.821 7106.105
120 HUNTINGTON PARK GR NW,-711.273 7990.483|-707.666 7996.143|-708.610 8002.648|-709.302 8009.175|-709.742 8015.735|-709.924 8022.296|-709.966 8027.366|-714.573 8031.892|-729.392 8031.759|-733.279 8027.211|-727.841 7990.817|-722.758 7987.459
112 HUNTFORD CL NE,667.123 7146.514|670.311 7140.598|673.359 7134.593|676.267 7128.533|679.035 7122.406|681.656 7116.202|684.131 7109.953|686.459 7103.648|688.640 7097.276|698.979 7097.243|699.105 7139.264|698.895 7145.112|698.238 7150.917|697.140 7156.666|695.609 7162.303
1127 78 AV NW,-813.516 8248.511|-816.074 8251.135|-818.535 8253.826|-820.905 8256.617|-823.177 8259.475|-825.344 8262.421|-827.413 8265.435|-829.370 8268.515|-831.223 8271.673|-836.102 8118.602|-812.202 8095.073|-812.964 8183.996
1135 78 AV NW,-839.199 8116.823|-834.103 8276.777|-845.225 8296.458|-848.279 8301.473|-851.663 8306.265|-855.354 8310.824|-859.345 8315.128|-863.610 8319.153|-868.139 8322.889|-872.900 8326.314|-877.884 8329.427|-883.064 8332.185|-888.412 8334.609|-893.913 8336.655|-899.541 8338.345|-905.266 8339.646|-911.061 8340.580|-916.912 8341.114|-922.784 8341.259|-924.224 8341.247|-863.491 8110.407
7741R HUNTERBURN HL NW,-1248.666 8002.025|-1253.629 8008.185|-1258.376 8014.512|-1262.906 8020.995|-1267.205 8027.644|-1271.266 8034.427|-1275.097 8041.344|-1278.690 8048.393|-1282.032 8055.554|-1285.121 8062.838|-1287.959 8070.221|-1290.546 8077.693|-1292.867 8085.254|-1294.929 8092.882|-1296.726 8100.588|-1298.249 8108.339|-1299.508 8116.144|-1304.618 8121.404|-1311.105 8122.694|-1317.536 8124.251|-1323.884 8126.085|-1330.154 8128.198|-1336.327 8130.566|-1342.394 8133.191|-1348.343 8136.071|-1354.166 8139.206|-1359.850 8142.587|-1365.386 8146.200|-1370.755 8150.048|-1375.963 8154.129|-1380.989 8158.421|-1385.826 8162.913|-1390.475 8167.617|-1394.914 8172.520|-1396.920 8174.878|-1401.590 8171.008|-1255.684 7996.276
7739 HUNTERQUAY RD NW,-1054.044 8218.744|-1056.966 8230.375|-1059.588 8242.095|-1065.012 8245.809|-1077.539 8243.707|-1096.504 8203.243
6620R 4 ST NW,398.060 7279.436|353.943 7279.580|353.824 7197.786|397.878 7141.443
320 72 AV NE,808.610 7889.107|613.450 7889.451|578.106 7792.689|580.826 7786.830|588.361 7784.250|596.002 7782.015|603.734 7780.102|611.542 7778.534|619.413 7777.311|627.333 7776.422|635.275 7775.888|643.244 7775.699|808.401 7775.443|808.541 7851.634|808.610 7889.073
7625 7 ST NW,-419.945 7992.251|-422.860 7999.090|-425.363 8006.095|-439.525 8049.939|-445.285 8052.908|-452.667 8050.751|-460.105 8048.771|-467.592 8046.981|-475.121 8045.380|-482.684 8043.979|-490.283 8042.767|-497.910 8041.744|-505.564 8040.910|-476.966 7952.388|-450.766 7970.701
67 HUNTERHORN CR NE,1564.994 7756.685|1510.084 7756.996|1511.237 7752.259|1515.690 7734.023|1519.822 7717.099|1521.751 7709.182|1524.288 7698.808|1526.819 7688.433|1529.378 7677.959|1531.929 7667.495|1534.355 7657.577|1536.864 7647.269|1539.626 7635.971|1499.906 7628.855|1500.745 7623.762|1501.430 7618.636|1501.975 7613.499|1502.366 7608.351|1502.618 7603.191|1502.716 7598.021|1502.667 7592.850|1502.464 7587.691|1542.736 7585.567|1545.463 7609.240|1548.476 7632.869
324 HUNTBOURNE HL NE,652.422 7659.967|631.353 7660.012|625.222 7655.731|621.895 7646.624|620.014 7640.742|618.616 7634.726|617.707 7628.621|617.295 7622.461|617.386 7616.290|617.973 7610.152|619.057 7604.070|620.630 7598.098|625.691 7596.586|663.908 7626.453
6901 6 ST NE,1532.691 7499.057|1530.636 7490.895|1529.986 7488.560|1527.532 7480.554|1526.770 7478.275|1524.191 7471.114|1523.079 7468.189|1519.269 7458.182|1515.473 7448.208|1511.685 7438.245|1511.398 7437.500|1507.791 7428.015|1504.512 7419.408|1491.734 7385.827|1489.979 7380.946|1488.399 7375.998|1487.001 7370.994|1485.778 7365.957|1484.743 7360.864|1483.898 7355.738|1483.233 7350.590|1482.758 7345.419|1482.471 7340.237|1482.367 7335.045|1482.457 7329.863|1482.730 7324.670|1483.191 7319.499|1483.842 7314.351|1484.673 7309.225|1485.694 7304.143|1486.980 7298.295|1487.540 7295.437|1487.966 7292.568|1488.260 7289.677|1488.420 7286.775|1488.448 7283.861|1488.343 7280.959|1488.106 7278.057|1487.735 7275.177|1487.232 7272.319|1486.596 7269.473|1485.834 7266.671|1484.946 7263.902|1483.932 7261.178|1482.793 7258.509|1481.528 7255.885|1480.151 7253.327|1476.900 7247.212|1474.006 7240.929|1471.482 7234.491|1469.329 7227.919|1467.554 7221.237|1466.170 7214.454|1465.177 7207.615|1464.576 7200.721|1453.328 7007.064|1488.504 7006.186|1487.540 7028.224|1486.980 7050.274|1486.827 7072.324|1487.071 7094.374|1487.728 7116.413|1488.791 7138.441|1490.252 7160.446|1492.118 7182.429|1494.390 7204.357|1497.061 7226.251|1500.136 7248.090|1503.618 7269.873|1507.490 7291.578|1511.762 7313.217|1516.431 7334.767|1521.499 7356.227|1535.173 7411.847|1537.354 7420.720|1553.271 7485.469|1557.291 7502.170|1561.142 7518.916|1564.826 7535.696|1568.335 7552.508|1571.684 7569.366|1574.858 7586.245|1577.863 7603.158|1580.702 7620.104|1583.365 7637.072|1585.861 7654.063|1588.188 7671.087|1590.341 7688.133|1592.327 7705.190|1594.137 7722.270|1595.780 7739.372|1597.248 7756.484|1564.994 7756.685|1548.476 7632.869|1545.463 7609.240|1542.736 7585.567|1541.674 7575.537|1541.422 7573.157|1540.409 7563.016|1540.178 7560.626|1539.220 7550.396|1539.003 7547.983|1538.095 7537.508|1537.885 7535.073|1537.466 7529.925|1536.941 7524.332|1536.662 7521.896|1535.347 7512.578|1534.942 7510.154|1533.222 7501.448
232 HUNTWELL PL NE,1397.397 8043.223|1394.356 8043.223|1394.349 8040.120|1394.301 8011.655|1397.726 8007.307|1418.753 7980.676|1420.669 7978.263|1437.732 7996.087|1439.885 7998.344|1439.955 8027.900|1438.459 8027.978|1436.984 8028.211|1435.537 8028.578|1434.132 8029.079|1432.783 8029.724|1431.504 8030.502|1430.309 8031.392|1429.204 8032.392|1428.204 8033.504|1427.317 8034.705|1426.555 8035.984|1425.918 8037.341|1425.422 8038.742|1425.059 8040.198|1424.849 8041.677|1424.779 8043.167
7504 HUNTERVALLEY RD NW,-11.974 7798.494|-6.668 7798.950|-1.383 7799.606|3.874 7800.451|9.096 7801.485|14.276 7802.730|19.400 7804.154|24.475 7805.777|29.487 7807.578|31.787 7813.416|19.546 7839.669|15.751 7838.213|11.899 7836.901|8.005 7835.733|4.069 7834.710|0.106 7833.832|-3.900 7833.109|-7.919 7832.531|-11.967 7832.097
435 HUNTBOURNE HL NE,979.444 7708.115|932.936 7708.192|932.866 7667.706|937.864 7666.227|942.821 7664.615|947.728 7662.858|952.586 7660.979|957.396 7658.966|962.142 7656.820|966.833 7654.541|971.454 7652.139|976.389 7654.396|979.367 7668.451
498 72 AV NE,1264.984 7805.822|1270.800 7807.768|1276.707 7809.447|1282.684 7810.848|1288.723 7811.960|1290.205 7812.282|1291.652 7812.749|1293.043 7813.349|1294.372 7814.095|1295.616 7814.962|1296.769 7815.951|1297.811 7817.052|1298.748 7818.253|1299.559 7819.532|1300.230 7820.889|1300.768 7822.312|1301.166 7823.780|1301.411 7825.270|1301.509 7826.782|1301.453 7828.294|1301.250 7829.806|1298.077 7846.752|1295.092 7854.247|1291.806 7861.619|1288.220 7868.847|1284.347 7875.930|1250.031 7935.775|1246.690 7941.802|1243.537 7947.906|1240.552 7954.111|1237.756 7960.394|1235.141 7966.765|1232.716 7973.203|1230.472 7979.708|1228.424 7986.269|1225.474 7997.555|1225.362 7934.519|1225.522 7926.568|1226.026 7918.618|1226.879 7910.701|1228.067 7902.828|1229.605 7895.022|1231.478 7887.283|1233.687 7879.633|1236.225 7872.083|1259.119 7808.479
143 HUNTCHESTER CR NE,1003.813 7350.812|1006.049 7355.971|1035.116 7385.883|990.069 7433.630|980.499 7409.189|982.184 7408.411|983.764 7407.421|985.204 7406.243|986.497 7404.908|987.616 7403.418|988.545 7401.817|989.272 7400.105|989.790 7398.314|990.076 7396.480|990.146 7394.623|989.985 7392.766|989.594 7390.942|988.993 7389.185|988.175 7387.517|987.168 7385.961|985.973 7384.526|978.633 7376.776|967.378 7350.856
