ADDRESS,POINTS
465 KINCORA GLEN RD NW,-5217.971 13194.884|-5216.712 13195.718|-5215.377 13196.429|-5213.979 13197.019|-5212.532 13197.463|-5211.050 13197.764|-5209.547 13197.919|-5208.030 13197.930|-5206.520 13197.808|-5205.031 13197.530|-5203.577 13197.119|-5202.172 13196.563|-5200.823 13195.873|-5199.551 13195.062|-5198.355 13194.128|-5197.258 13193.093|-5196.272 13191.948|-5177.775 13188.379|-5176.426 13189.079|-5175.014 13189.635|-5173.560 13190.058|-5172.064 13190.347|-5170.554 13190.480|-5169.037 13190.469|-5167.527 13190.314|-5166.038 13190.013|-5164.584 13189.569|-5163.179 13188.979|-5161.844 13188.268|-5160.579 13187.434|-5159.398 13186.466|-5158.321 13185.410|-5157.349 13184.242|-5156.496 13182.986|-5154.840 13180.829|-5152.882 13178.938|-5151.184 13181.918|-5132.890 13214.143|-4977.841 13213.642|-4895.109 13213.509|-4895.123 13301.887|-4895.304 13303.955|-4895.843 13305.979|-4896.723 13307.858|-4897.919 13309.570|-4899.394 13311.049|-4901.099 13312.250|-4902.994 13313.140|-4905.007 13313.684|-4925.119 13317.298|-5235.293 13317.865|-5237.460 13317.710|-5239.578 13317.243|-5246.597 13307.669|-5248.743 13304.322|-5250.490 13300.752|-5250.532 13292.824|-5250.532 13292.680|-5250.637 13274.533|-5250.672 13268.550|-5250.833 13261.389|-5251.371 13254.251|-5252.301 13247.156|-5253.608 13240.107|-5255.286 13233.146|-5257.341 13226.285|-5259.760 13219.547|-5262.542 13212.942|-5265.184 13207.460|-5265.604 13206.337|-5265.800 13205.158|-5265.758 13203.957|-5265.471 13202.801|-5264.807 13201.055|-5263.940 13199.398|-5262.878 13197.853|-5261.640 13196.452|-5260.228 13195.417|-5258.585 13194.806|-5251.182 13193.483|-5243.731 13192.493|-5236.237 13191.848|-5228.722 13191.548|-5225.870 13191.737|-5223.081 13192.371|-5220.424 13193.427
125R KINCORA PL NW,-4134.363 12386.007|-4136.229 12398.283|-4137.327 12397.583|-4140.850 12395.381|-4152.189 12388.687|-4163.772 12382.416|-4175.579 12376.589|-4187.595 12371.207|-4199.808 12366.281|-4205.568 12364.146|-4156.124 12356.396|-4120.878 12332.423|-4092.916 12298.297|-4052.036 12291.981|-4043.018 12305.647|-4032.798 12307.103|-4022.781 12320.291|-4043.997 12341.207|-4058.279 12330.732|-4070.526 12321.759|-4077.803 12323.260|-4080.788 12323.861|-4101.340 12328.086|-4110.665 12329.998|-4120.850 12343.464|-4129.665 12355.117|-4131.070 12364.380
70 KINCORA DR NW,-3669.133 12188.525|-3679.157 12181.776|-3689.300 12175.226|-3699.569 12168.866|-3709.950 12162.695|-3720.450 12156.723|-3731.061 12150.952|-3741.771 12145.382|-3752.592 12140.011|-3763.511 12134.840|-3772.822 12130.637|-3774.451 12129.914|-3785.049 12125.222|-3795.646 12120.541|-3806.391 12115.781|-3808.180 12114.936|-3809.599 12114.358|-3806.642 12104.818|-3803.804 12094.777|-3801.218 12084.669|-3798.897 12074.495|-3796.828 12064.265|-3783.203 12076.930|-3778.492 12092.553|-3778.016 12110.778|-3768.523 12118.761|-3740.065 12116.549|-3728.489 12118.673|-3710.097 12137.831|-3705.476 12154.133|-3697.864 12161.205|-3670.118 12160.960|-3663.939 12165.285|-3658.165 12192.350|-3639.521 12208.129|-3626.113 12216.090|-3588.330 12230.701|-3614.208 12260.046|-3618.438 12234.093|-3619.095 12230.079|-3619.745 12226.076|-3628.413 12218.937|-3637.200 12211.943|-3649.489 12202.569|-3659.248 12195.453
84 KINCORA DR NW,-3759.715 11984.171|-3760.904 11977.433|-3762.323 11970.739|-3764.147 11963.411|-3766.244 11956.172|-3766.608 11955.016|-3762.337 11951.958|-3758.191 11948.722|-3752.725 11944.030|-3747.524 11939.048|-3743.483 11934.778|-3739.639 11930.331|-3737.954 11928.296|-3725.574 11913.340|-3722.533 11909.659|-3720.876 11893.047|-3719.282 11877.068|-3721.911 11870.185|-3729.565 11850.137|-3729.733 11849.703|-3730.285 11848.258|-3678.493 11868.662|-3614.250 11959.886|-3620.724 11964.445|-3640.052 11951.146|-3652.530 11941.394|-3670.454 11930.064|-3672.467 11928.952|-3674.599 11928.062|-3676.822 11927.417|-3679.094 11927.039|-3681.401 11926.906|-3683.708 11927.039|-3685.987 11927.439|-3688.203 11928.084|-3690.328 11928.985|-3692.341 11930.108|-3694.215 11931.454|-3695.927 11933.010|-3697.444 11934.745|-3698.765 11936.635|-3699.856 11938.659|-3700.709 11940.805|-3719.828 11997.470|-3725.902 12035.299|-3725.658 12057.237|-3726.951 12068.234|-3727.063 12069.591|-3752.452 12074.450|-3773.431 12056.014|-3794.710 12052.045|-3793.584 12044.417|-3792.598 12036.766|-3757.863 12030.884|-3757.492 12024.969|-3757.297 12019.031|-3757.269 12013.160|-3757.422 12007.300|-3757.744 12001.484|-3758.233 11995.680|-3758.890 11989.920
133 KINCORA CV NW,-3726.203 12413.005|-3742.568 12443.395|-3751.613 12451.145|-3763.665 12453.458|-3797.058 12447.465|-3813.528 12441.171|-3814.451 12436.601|-3796.520 12423.914|-3783.049 12395.893|-3774.269 12406.334|-3772.207 12408.780|-3763.826 12418.743|-3752.844 12417.064|-3731.830 12413.862
29 KINCORA DR NW,-3900.993 12167.932|-3905.096 12174.114|-3908.025 12178.395|-3915.281 12188.848|-3920.426 12196.109|-3919.846 12201.224|-3897.064 12217.558|-3894.268 12219.637|-3894.925 12220.572|-3902.447 12230.879|-3910.073 12241.098|-3922.621 12231.635|-3948.668 12126.045|-3949.136 12124.143|-3945.697 12126.934|-3939.671 12131.838|-3936.560 12134.173|-3927.270 12141.167|-3917.980 12148.150|-3908.689 12155.144|-3898.938 12162.472|-3897.966 12163.195
99R KINCORA VW NW,-4448.690 12417.142|-4456.736 12425.804|-4463.873 12408.880|-4465.816 12404.266|-4470.248 12393.802|-4449.710 12392.001|-4438.358 12388.365|-4431.486 12378.691|-4427.537 12368.817|-4419.288 12338.116|-4410.976 12327.163|-4379.344 12318.012|-4353.857 12325.818|-4345.147 12324.472|-4341.029 12319.724|-4324.483 12318.923|-4312.480 12326.529|-4301.680 12336.503|-4305.665 12335.992|-4309.894 12335.592|-4314.137 12335.347|-4318.387 12335.236|-4322.644 12335.280|-4326.888 12335.480|-4331.124 12335.814|-4335.346 12336.303|-4339.554 12336.937|-4343.735 12337.715|-4347.880 12338.638|-4351.997 12339.706|-4356.073 12340.918|-4360.106 12342.274|-4364.084 12343.764|-4368.013 12345.388|-4371.878 12347.156|-4375.625 12349.013|-4379.302 12351.003|-4382.909 12353.127|-4386.447 12355.362|-4392.780 12359.821|-4398.820 12364.669|-4403.958 12369.328|-4408.823 12374.276|-4409.914 12375.444|-4420.371 12386.697|-4429.200 12396.182|-4437.924 12405.567|-4446.648 12414.940
230 KINCORA HT NW,-4223.568 12118.383|-4228.560 12118.728|-4233.558 12118.817|-4238.563 12118.650|-4243.547 12118.217|-4249.377 12117.383|-4255.144 12116.193|-4260.828 12114.669|-4266.406 12112.790|-4271.859 12110.578|-4277.171 12108.042|-4282.316 12105.185|-4287.280 12102.016|-4290.964 12099.380|-4294.522 12096.578|-4275.151 12072.793|-4274.906 12066.233|-4273.592 12068.223|-4272.292 12070.002|-4270.838 12071.659|-4269.237 12073.183|-4267.511 12074.561|-4265.672 12075.785|-4263.729 12076.841|-4261.701 12077.719|-4259.604 12078.409|-4248.699 12081.489|-4246.455 12082.056|-4244.190 12082.490|-4241.897 12082.790|-4239.598 12082.957|-4237.284 12082.990|-4234.977 12082.890|-4232.677 12082.668|-4230.398 12082.301|-4228.846 12090.485
156 KINCORA HT NW,-4021.292 12210.542|-4064.878 12219.660|-4079.495 12222.695|-4096.656 12210.264|-4087.429 12193.295|-4085.982 12190.627|-4080.382 12180.330|-4080.292 12166.642|-4080.222 12156.245|-4083.290 12144.937|-4084.891 12139.066|-4064.850 12144.503|-4010.967 12159.092|-4008.996 12167.910|-4015.735 12184.800|-4008.066 12202.369|-4009.695 12208.440
142R KINCORA HT NW,-4079.495 12222.695|-4147.708 12255.542|-4150.301 12258.811|-4160.277 12264.349|-4180.612 12267.429|-4187.784 12263.793|-4202.212 12252.462|-4191.874 12251.117|-4178.130 12249.371|-4168.847 12248.181|-4164.597 12246.302|-4151.881 12240.676|-4139.263 12235.094|-4131.350 12231.591|-4126.960 12228.900|-4114.125 12221.005|-4100.312 12212.521|-4096.656 12210.264
