ADDRESS,POINTS
49 HOWSE DR NE,461.988 15399.067|462.044 15268.436|491.508 15239.036|491.522 15224.847|491.522 15221.333|562.567 15221.489|563.692 15221.589|564.783 15221.889|565.810 15222.368|566.733 15223.012|567.537 15223.813|568.180 15224.736|568.662 15225.770|568.949 15226.860|569.047 15227.983|568.991 15399.167
139 HOWSE DR NE,348.567 15492.304|352.538 15460.113|461.960 15460.358|461.988 15399.067|568.991 15399.167|568.935 15532.268|569.026 15536.604|569.305 15540.930|381.926 15540.841|350.329 15540.830|347.931 15540.830|347.945 15502.290|348.106 15497.286
513 LIVINGSTON VW NE,673.324 15829.158|673.317 15848.406|632.297 15848.350|630.584 15848.328|630.626 15819.951|623.579 15815.381|622.244 15814.525|616.149 15810.566|614.883 15809.755|608.899 15805.885|607.669 15805.085|601.734 15801.237|600.469 15800.425|599.448 15799.758|594.136 15794.443|593.087 15793.387|586.942 15787.238|585.887 15786.170|579.749 15780.021|578.687 15778.954|572.556 15772.805|571.493 15771.737|566.936 15767.178|564.622 15764.910|563.524 15763.865|559.295 15760.051|554.919 15756.392|553.724 15755.458|549.173 15752.022|544.496 15748.775|543.217 15747.941|538.387 15744.928|533.437 15742.115|532.088 15741.403|527.006 15738.823|521.833 15736.455|520.421 15735.866|515.143 15733.742|509.782 15731.840|508.300 15731.385|502.833 15729.750|497.297 15728.338|495.836 15727.993|490.243 15726.859|484.602 15725.936|483.120 15725.725|477.437 15725.080|471.739 15724.668|470.236 15724.591|464.246 15724.457|458.248 15724.446|458.178 15757.026|458.178 15759.417|436.745 15759.361|436.766 15722.556|437.759 15722.166|438.695 15721.644|439.548 15720.999|440.317 15720.243|442.156 15718.341|444.148 15716.585|446.280 15714.983|448.531 15713.571|450.887 15712.348|453.333 15711.303|455.864 15710.469|458.443 15709.835|464.756 15708.734|471.110 15707.945|477.499 15707.478|483.903 15707.333|490.306 15707.500|496.695 15708.000|503.050 15708.812|509.348 15709.946|512.501 15710.702|515.598 15711.670|518.617 15712.826|521.567 15714.172|529.033 15718.097|536.317 15722.356|543.413 15726.926|550.291 15731.796|556.953 15736.978|563.377 15742.437|569.557 15748.175|575.471 15754.180|580.483 15759.361|585.614 15764.432|590.871 15769.369|596.240 15774.183|601.727 15778.865|607.320 15783.413|613.031 15787.827|618.840 15792.097|625.914 15797.390|632.779 15802.961|639.413 15808.798|645.816 15814.892|648.710 15817.549|651.793 15819.985|655.058 15822.175|658.476 15824.121|662.034 15825.800|665.704 15827.201|669.479 15828.324
149 HOWSE RI NE,818.865 15312.947|819.467 15312.958|824.863 15312.969|849.854 15313.014|850.868 15313.091|851.861 15313.336|852.804 15313.725|853.671 15314.259|854.440 15314.926|855.104 15315.705|855.635 15316.572|856.020 15317.517|856.258 15318.507|856.334 15319.519|856.334 15319.708|856.146 15323.032|855.579 15326.301|854.643 15329.493|853.853 15332.439|853.559 15335.475|853.755 15338.522|854.447 15341.491|855.607 15344.304|857.215 15346.906|859.221 15349.196|861.570 15351.142|864.206 15352.677|867.680 15354.645|868.190 15354.990|866.464 15356.713|844.332 15378.785|843.053 15380.053|842.633 15380.476|818.565 15404.471|816.866 15406.162|816.440 15405.739|809.582 15398.867|807.380 15396.388|805.472 15393.686|803.885 15390.783|802.277 15388.037|800.222 15385.591|797.789 15383.545|795.049 15381.921|792.064 15380.798|791.484 15380.642|791.770 15378.241|795.336 15348.474|795.405 15347.884|796.908 15347.884|807.282 15347.907|817.055 15347.929|818.858 15347.929|818.858 15346.127
931 LIVINGSTON HL NE,739.782 15745.406|740.824 15752.156|738.454 15757.360|736.385 15762.686|734.623 15768.112|733.176 15773.639|732.037 15779.243|731.226 15784.892|730.737 15790.585|730.569 15796.289|730.534 15841.979|730.401 15843.247|730.030 15844.459|729.429 15845.582|728.625 15846.560|727.640 15847.372|726.514 15847.972|725.298 15848.339|724.026 15848.462|682.313 15848.417|682.320 15829.959|687.410 15829.714|692.450 15828.980|694.673 15828.435|696.833 15827.690|698.916 15826.756|700.901 15825.633|702.782 15824.332|704.529 15822.865|706.144 15821.252|707.598 15819.495|708.884 15817.605|709.996 15815.615|710.919 15813.535|711.653 15811.378|712.184 15809.154|712.505 15806.897|712.624 15804.629|712.533 15802.349|712.184 15799.436|711.632 15796.556|710.891 15793.720|709.954 15790.941|708.835 15788.227|707.528 15785.603|706.039 15783.068|704.389 15780.644|715.190 15769.925
27 LUCAS ST NW,-379.107 15492.338|-372.109 15482.719|-364.818 15473.312|-357.247 15464.139|-349.390 15455.199|-344.811 15449.984|-340.400 15444.624|-336.157 15439.131|-332.096 15433.516|-328.209 15427.767|-324.504 15421.896|-320.988 15415.913|-317.667 15409.820|-316.122 15406.851|-310.187 15405.061|-283.924 15419.972|-280.625 15421.762|-277.269 15423.441|-273.858 15424.987|-270.391 15426.421|-266.874 15427.722|-263.309 15428.901|-259.709 15429.946|-256.074 15430.858|-252.250 15431.670|-247.818 15436.929|-247.818 15438.075|-247.735 15442.111|-247.490 15446.147|-247.077 15450.161|-246.497 15454.164|-246.008 15457.511|-245.665 15460.870|-245.456 15464.239|-245.393 15467.619|-245.449 15536.482|-245.407 15536.971|-247.825 15536.971|-315.927 15536.938|-329.586 15527.297|-346.447 15515.400
47 LUCAS CR NW,-396.275 15258.773|-437.037 15258.751|-445.034 15258.739|-444.614 15253.102|-443.803 15242.105|-442.986 15231.107|-442.867 15229.440|-442.860 15220.611|-442.860 15217.608|-442.860 15215.874|-432.863 15215.874|-396.247 15215.896
214 LUCAS WY NW,-673.811 15505.792|-633.665 15519.892|-631.400 15520.692|-634.581 15530.211|-637.600 15539.796|-640.460 15549.414|-643.158 15559.088|-644.171 15562.946|-646.471 15562.346|-687.128 15551.660|-687.708 15551.505|-689.449 15551.049|-719.179 15543.243|-721.507 15542.631|-720.591 15539.229|-717.460 15527.898|-714.125 15516.623|-710.595 15505.403|-706.876 15494.239|-704.611 15495.040
130 LUCAS TC NW,-583.711 15538.873|-541.069 15553.217|-543.858 15561.679|-546.494 15570.174|-548.989 15578.725|-551.324 15587.309|-594.252 15576.034|-594.833 15575.878|-596.573 15575.423|-628.716 15567.016|-627.723 15563.425|-625.227 15554.407|-622.585 15545.444|-619.796 15536.515|-616.874 15527.631|-614.595 15528.398
225 LUCAS WY NW,-754.327 15475.369|-721.367 15487.223|-724.786 15497.330|-728.050 15507.482|-731.154 15517.679|-734.104 15527.931|-736.900 15538.228|-739.536 15548.558|-742.010 15558.932|-744.331 15569.340|-746.156 15578.147|-748.581 15590.790|-750.769 15603.477|-753.139 15603.088|-764.582 15601.220|-789.790 15597.106|-789.783 15585.886|-785.218 15584.541|-780.709 15582.995|-776.278 15581.260|-771.922 15579.337|-770.189 15578.514|-768.162 15577.435|-766.197 15576.245|-764.317 15574.944|-762.506 15573.532|-760.794 15572.009|-759.172 15570.385|-757.655 15568.673|-756.236 15566.861|-753.936 15563.358|-752.035 15559.622|-750.560 15555.708|-749.518 15551.649|-745.596 15531.890|-746.058 15506.682|-746.365 15502.479|-747.120 15498.342|-748.316 15494.306|-749.944 15490.414|-751.510 15486.811|-752.769 15483.075|-753.705 15479.261
343R LUCAS WY NW,-779.969 15886.223|-786.588 15887.891|-795.320 15890.104|-798.004 15890.782|-806.448 15892.917|-806.455 15861.271|-806.455 15841.612|-807.812 15836.408|-805.435 15835.596|-803.135 15834.585|-800.933 15833.384|-798.836 15832.005|-796.857 15830.448|-795.019 15828.736|-793.334 15826.879|-791.810 15824.888|-791.013 15830.092|-788.714 15843.925|-786.148 15857.724|-783.317 15871.468
