ADDRESS,POINTS
75 REDSTONE PA NE,7866.518 13486.426|7871.788 13486.359|7885.483 13486.326|7890.502 13486.426|7890.523 13488.761|7890.495 13562.383|7885.497 13562.305|7871.740 13562.316|7866.511 13562.372|7866.546 13488.772
100 REDSTONE PZ NE,7809.084 13668.051|7813.579 13672.510|7813.593 13703.345|7800.835 13703.756|7788.091 13704.457|7775.369 13705.424|7762.667 13706.681|7750.000 13708.215|7737.369 13710.028|7724.779 13712.107|7712.238 13714.475|7678.558 13721.203|7671.868 13692.892|7671.546 13691.124|7671.399 13689.334|7671.427 13687.533|7671.644 13685.743|7672.029 13683.986|7672.595 13682.284|7673.329 13680.639|7674.224 13679.071|7675.272 13677.603|7676.454 13676.258|7677.775 13675.023|7679.208 13673.934|7680.746 13672.989|7682.368 13672.199|7684.059 13671.587|7685.807 13671.132|7691.322 13670.153|7696.887 13669.441|7702.472 13668.997|7708.078 13668.819
60 REDSTONE PZ NE,7633.441 13688.111|7635.161 13687.711|7636.936 13687.689|7638.670 13688.022|7640.299 13688.712|7641.753 13689.723|7642.962 13691.013|7643.878 13692.525|7644.458 13694.193|7651.644 13724.605|7576.644 13731.366|7577.699 13729.509|7578.636 13727.596|7579.447 13725.628|7580.139 13723.616|7580.705 13721.570|7581.138 13719.490|7581.446 13717.378|7581.621 13715.254|7581.928 13713.575|7582.676 13712.029|7583.802 13710.728|7585.228 13709.772|7605.493 13699.753|7612.337 13696.506|7619.278 13693.482|7626.318 13690.680
20 REDSTONE PZ NE,7539.482 13695.550|7541.251 13694.838|7543.075 13694.305|7544.949 13693.949|7546.843 13693.771|7548.752 13693.782|7550.646 13693.982|7552.512 13694.360|7554.330 13694.916|7556.092 13695.639|7557.769 13696.540|7559.356 13697.596|7560.831 13698.797|7562.180 13700.131|7563.397 13701.599|7564.459 13703.178|7565.368 13704.846|7566.109 13706.592|7566.675 13708.404|7567.067 13710.272|7567.269 13712.163|7567.290 13714.053|7567.123 13715.954|7566.780 13717.822|7566.249 13719.646|7565.550 13721.414|7564.676 13723.093|7563.648 13724.694|7562.460 13726.184|7561.139 13727.552|7559.692 13728.786|7558.133 13729.876|7556.476 13730.810|7521.265 13749.357|7516.973 13751.715|7512.765 13754.205|7508.633 13756.841|7504.600 13759.598|7500.650 13762.500|7496.805 13765.514|7493.058 13768.672|7489.423 13771.941|7467.103 13792.668|7460.133 13793.124|7459.085 13792.390|7447.977 13784.706|7443.503 13781.481|7439.162 13778.090|7434.961 13774.521|7430.906 13770.784|7426.998 13766.904|7423.245 13762.867|7419.658 13758.686|7416.240 13754.361|7417.708 13748.901
45 REDSTONE PZ NE,7515.281 13619.015|7523.796 13619.026|7523.789 13612.065|7540.964 13678.737|7538.510 13679.282|7536.099 13680.005|7533.750 13680.883|7531.464 13681.940
330 REDSTONE DR NE,7863.533 13395.035|7926.622 13395.012|7926.629 13396.013|7969.096 13396.002|7969.117 13437.177|7967.691 13437.177|7959.771 13437.155|7951.221 13437.133|7942.742 13437.044|7934.752 13437.033|7926.748 13437.011|7918.142 13437.000|7909.537 13436.977|7901.533 13436.966|7893.529 13436.944|7890.558 13436.933|7863.540 13436.988
117 REDSTONE CM NE,7890.551 13436.955|7893.522 13436.977|7891.886 13471.426|7863.812 13471.459|7863.540 13436.988
74 REDSTONE PA NE,7926.419 13703.979|7927.202 13706.569|7927.747 13709.216|7927.831 13709.816|7910.774 13709.827|7893.116 13709.827|7890.670 13709.827|7863.638 13709.839|7828.713 13709.772|7828.713 13709.260|7829.650 13613.288|7864.875 13613.255|7864.896 13602.257|7864.945 13591.238|7865.015 13577.328|7873.648 13577.328|7885.776 13577.328|7892.977 13577.328|7893.067 13577.328|7893.578 13580.830|7893.592 13612.309|7904.784 13612.298|7915.982 13612.298|7927.174 13612.287|7938.366 13612.287|7949.558 13612.276|7960.533 13612.276|7972.116 13612.265|7983.091 13612.265|7994.674 13612.254|8005.649 13612.254|8016.624 13612.243|8027.592 13612.243|8043.293 13612.232|8060.825 13612.221|8068.976 13612.221|8081.048 13600.756|8083.229 13598.688|8087.850 13594.318|8087.822 13595.163|8084.718 13663.270|8084.683 13664.104|8071.402 13650.216|8069.304 13648.025|8068.507 13647.191|7943.567 13647.247|7943.581 13676.569|7943.574 13678.982|7942.979 13679.004|7940.826 13679.260|7938.708 13679.760|7936.667 13680.505|7934.724 13681.473|7932.913 13682.663|7931.242 13684.052|7929.754 13685.631|7928.453 13687.366|7927.356 13689.234|7926.489 13691.225|7925.860 13693.304|7925.475 13695.428|7925.336 13697.596|7925.447 13699.753|7925.811 13701.899
149 REDSTONE AV NE,7893.172 13875.408|7892.564 13875.408|7885.581 13875.408|7871.781 13875.419|7864.288 13875.419|7863.680 13875.441|7863.680 13863.654|7863.673 13852.668|7863.673 13841.682|7863.673 13830.696|7863.666 13819.710|7863.666 13808.724|7863.659 13797.738|7863.659 13786.752|7863.659 13775.766|7863.652 13764.780|7863.652 13753.794|7863.645 13742.808|7863.645 13731.822|7863.645 13720.825|7863.638 13709.839|7890.670 13709.827|7893.116 13709.827|7893.123 13721.403|7893.130 13732.389|7893.130 13743.375|7893.137 13754.361|7893.137 13765.358|7893.137 13776.344|7893.144 13787.330|7893.144 13798.316|7893.151 13809.302|7893.151 13820.288|7893.158 13830.674|7893.158 13841.660|7893.165 13852.046|7893.165 13863.032
130 RED SKY WY NE,8136.336 13741.373|8131.303 13741.373|8096.420 13741.396|8081.153 13741.396|8081.188 13740.795|8081.230 13739.906|8081.733 13728.953|8082.202 13718.601|8082.670 13708.248|8083.229 13695.984|8084.194 13674.846|8084.683 13664.104|8084.718 13663.270|8087.822 13595.163|8087.808 13595.152|8087.850 13594.318|8102.418 13609.563|8106.249 13613.566|8115.889 13613.588|8138.552 13613.655|8153.183 13613.688|8164.151 13613.722|8175.126 13613.755|8186.101 13613.777|8197.069 13613.811|8208.044 13613.844|8221.983 13613.877|8225.010 13613.888|8247.177 13613.944|8268.980 13614.000|8396.144 13614.344|8399.639 13614.355|8399.632 13736.848|8395.138 13741.340|8160.334 13741.429|8158.293 13741.362|8156.259 13741.151|8154.239 13740.806|8152.253 13740.317|8150.478 13739.895|8148.674 13739.605|8146.857 13739.461|8145.032 13739.450|8143.215 13739.572|8141.404 13739.839|8139.629 13740.239|8137.881 13740.773
