ADDRESS,POINTS
84 RIVER ROCK RD SE,4581.825 -8790.088|4593.276 -8777.100|4575.135 -8777.100|4562.462 -8776.900|4549.802 -8776.289|4537.170 -8775.277|4524.573 -8773.865|4520.882 -8780.103|4520.190 -8781.281|4535.583 -8807.623|4544.147 -8822.268|4537.513 -8833.965|4529.669 -8848.109|4523.140 -8860.130|4517.492 -8870.749|4512.109 -8881.023|4506.810 -8891.342|4501.596 -8901.694|4496.234 -8912.514|4495.577 -8913.859|4496.646 -8914.393|4507.125 -8919.552|4517.478 -8924.967|4525.098 -8911.346|4530.739 -8901.261|4540.700 -8883.481|4543.322 -8878.799|4561.476 -8878.810|4580.931 -8878.810|4581.846 -8878.810|4581.839 -8860.319|4581.839 -8835.567
90 RIVER ROCK CR SE,4379.234 -9232.877|4380.465 -9232.877|4381.611 -9232.877|4430.488 -9232.922|4429.768 -9223.704|4429.461 -9217.699|4429.272 -9209.193|4429.342 -9200.686|4429.538 -9194.715|4429.859 -9188.733|4430.803 -9177.758|4431.537 -9171.453|4432.418 -9165.171|4433.424 -9158.944|4434.578 -9152.739|4435.857 -9146.590|4437.283 -9140.463|4438.835 -9134.403|4440.520 -9128.365|4442.330 -9122.405|4444.274 -9116.478|4447.902 -9106.460|4448.356 -9105.270|4452.075 -9095.574|4455.794 -9085.878|4459.513 -9076.181|4463.225 -9066.474|4466.944 -9056.778|4470.663 -9047.082|4474.382 -9037.374|4478.094 -9027.678|4481.806 -9017.982|4485.531 -9008.286|4489.250 -8998.578|4492.969 -8988.882|4495.087 -8983.356|4485.524 -8979.375|4478.087 -8976.284|4469.495 -8972.714|4468.391 -8972.259|4462.274 -8986.302|4456.283 -9000.391|4449.915 -9015.825|4444.267 -9029.891|4440.023 -9040.732|4436.067 -9051.040|4431.977 -9061.937|4427.965 -9072.857|4424.232 -9083.242|4423.100 -9082.842|4391.314 -9071.889|4384.121 -9092.672|4415.969 -9103.646|4417.095 -9104.036|4413.578 -9114.510|4410.139 -9124.996|4406.581 -9136.082|4403.289 -9146.623|4400.059 -9157.198|4396.906 -9167.795|4393.656 -9178.992|4389.608 -9193.370|4384.547 -9212.139|4383.673 -9215.475|4383.149 -9217.488|4381.849 -9222.536|4381.541 -9223.737
99 RIVERGLEN WY SE,3960.833 -8165.562|3961.050 -8217.668|3972.514 -8217.345|3983.965 -8216.856|3995.415 -8216.178|4006.845 -8215.332|3994.199 -8167.986|3992.947 -8166.763|3991.822 -8165.428
187 RIVERSIDE CL SE,3166.995 -8112.488|3146.429 -8082.354|3144.646 -8083.444|3142.745 -8084.323|3140.752 -8084.968|3138.704 -8085.379|3136.621 -8085.546|3134.531 -8085.468|3132.462 -8085.145|3130.448 -8084.578|3117.894 -8127.055|3153.223 -8143.089
141 RIVERVIEW CO SE,3205.897 -8115.702|3166.995 -8112.488|3153.223 -8143.089|3162.863 -8147.470|3208.357 -8122.374|3207.449 -8120.828|3206.729 -8119.182|3206.211 -8117.470
37 RIVERVIEW DR SE,3047.444 -8095.109|3041.767 -8092.529|3080.285 -8135.595|3219.360 -8225.874|3225.610 -8225.885|3227.246 -8220.425|3229.035 -8215.021|3230.985 -8209.662|3233.097 -8204.369|3235.362 -8199.142|3237.780 -8193.994|3240.353 -8188.913|3243.072 -8183.909|3239.423 -8182.252|3227.239 -8176.714|3219.409 -8173.156|3215.327 -8171.299|3202.891 -8165.651|3185.778 -8157.878|3162.863 -8147.470|3153.223 -8143.089|3117.894 -8127.055|3104.045 -8120.772|3090.491 -8114.634|3076.531 -8108.296|3062.487 -8101.925
111R RIVERSIDE WY SE,3391.829 -7104.762|3374.640 -7081.767|3340.918 -7101.693|3282.135 -7167.921|3258.060 -7204.660|3240.479 -7224.708|3240.451 -7243.322|3247.861 -7234.871|3257.095 -7224.341|3265.938 -7214.256|3267.811 -7212.121|3273.599 -7203.292|3280.946 -7192.072|3287.965 -7181.364|3291.866 -7175.415|3296.032 -7170.723|3304.917 -7160.704|3313.802 -7150.697|3325.790 -7137.198|3337.122 -7124.421|3348.782 -7111.289|3368.006 -7108.376
83R RIVERSIDE WY SE,3240.451 -7243.322|3240.479 -7224.708|3230.447 -7236.150|3230.412 -7261.291|3232.670 -7256.921|3238.605 -7245.435|3239.025 -7244.957
48 RIVERSTONE CR SE,4857.138 -8159.001|4819.166 -8155.865|4808.995 -8185.832|4810.456 -8186.322|4811.875 -8186.944|4813.231 -8187.689|4814.517 -8188.546|4815.727 -8189.502|4816.852 -8190.569|4817.880 -8191.726|4818.802 -8192.971|4857.138 -8172.022
104 RIVER ROCK CI SE,4593.269 -8759.265|4593.241 -8668.919|4588.445 -8667.573|4586.740 -8673.278|4584.873 -8678.915|4582.860 -8684.508|4580.686 -8690.046|4578.365 -8695.517|4575.890 -8700.932|4573.269 -8706.269|4570.501 -8711.529|4569.445 -8713.664|4568.557 -8715.876|4567.858 -8718.145|4567.334 -8720.469|4566.845 -8722.481|4566.132 -8724.416|4565.202 -8726.262|4564.069 -8727.986|4562.741 -8729.576|4561.238 -8730.988|4559.589 -8732.222|4557.799 -8733.267|4555.912 -8734.090|4553.940 -8734.691|4551.906 -8735.069|4549.851 -8735.202|4547.789 -8735.091|4545.754 -8734.757|4543.769 -8734.179|4541.868 -8733.379|4539.589 -8732.389|4537.240 -8731.577|4534.828 -8730.966|4532.375 -8730.565|4524.573 -8773.865|4537.170 -8775.277|4549.802 -8776.289|4562.462 -8776.900|4575.135 -8777.100|4593.276 -8777.100
