ADDRESS,POINTS
140 RUNDLEVIEW DR NE,7735.083 3359.426|7704.681 3359.526|7704.681 3327.079|7709.239 3322.453|7722.703 3322.442|7735.076 3322.854
347 RUNDLEFIELD RD NE,7203.611 2360.095|7203.569 2413.535|7199.004 2418.094|7138.194 2418.038|7133.643 2413.468|7133.692 2360.028|7173.202 2360.061
2240 48 ST NE,7473.457 2709.158|7473.464 2754.670|7469.130 2757.828|7419.602 2741.727|7447.131 2693.935
4120 RUNDLEHORN DR NE,6794.626 2953.197|6794.626 2960.814|6782.462 2960.803|6782.469 2942.534|6782.476 2925.788|6782.483 2909.031|6782.483 2891.973|6782.490 2873.704|6782.497 2856.647|6782.504 2839.901|6782.504 2822.843|6782.511 2804.563|6782.518 2787.506|6782.525 2770.760|6782.525 2755.203|6749.097 2746.230|6749.118 2690.099|6749.167 2574.601|6788.153 2547.258|6792.039 2544.645|6796.024 2542.176|6800.106 2539.863|6804.266 2537.717|6808.509 2535.727|6812.822 2533.892|6817.205 2532.235|6821.644 2530.745|6826.139 2529.422|6830.683 2528.266|6835.268 2527.298|6839.882 2526.498|6844.531 2525.875|6849.194 2525.430|6853.870 2525.163|6858.561 2525.074|6906.893 2525.141|6906.872 2529.600|6906.711 2544.133|6906.432 2552.762|6906.019 2561.380|6905.488 2570.008|6904.817 2578.615|6904.027 2587.210|6903.104 2595.806|6902.573 2600.287|6900.909 2613.864|6898.868 2630.487|6896.827 2647.111|6894.702 2664.379|6927.333 2672.997|6924.362 2697.182|6890.619 2697.638|6888.466 2715.173|6886.236 2733.309|6885.425 2739.959|6884.020 2752.123|6883.643 2755.759|6855.471 2755.748|6819.002 2755.737|6812.920 2755.737|6794.675 2774.007|6794.668 2806.631|6794.661 2825.490|6794.654 2849.864|6794.647 2874.227|6805.706 2874.227|6825.097 2854.812|6825.671 2856.491|6826.433 2858.092|6827.376 2859.604|6828.488 2860.983|6829.760 2862.229|6831.158 2863.318|6832.682 2864.241|6834.304 2864.975|6804.301 2895.020|6794.640 2904.694|6794.633 2916.636
360 RUNDLEVIEW DR NE,7663.738 3568.461|7663.661 3598.917|7626.080 3598.862|7626.150 3568.394
4747 RUNDLEWOOD DR NE,7088.023 2709.569|7088.023 2740.025|7062.158 2740.025|7057.601 2735.455|7057.608 2709.558
964 RUNDLECAIRN WY NE,7657.488 2488.247|7643.074 2515.022|7641.208 2513.977|7629.226 2507.050|7644.395 2480.674
40 RUNDLESON WY NE,7083.319 3357.213|7087.883 3357.213|7087.890 3387.647|7087.883 3401.969|7087.876 3427.266|7086.359 3427.277|7086.345 3597.816|7084.822 3613.050|7084.822 3685.716|7084.661 3687.907|7084.192 3690.041|7083.423 3692.087|7082.368 3694.011|7081.047 3695.757|7079.495 3697.291|7077.733 3698.592|7075.797 3699.638|7074.049 3700.283|7072.232 3700.727|7062.116 3702.495|7062.012 3434.315|7062.040 3401.969|7062.040 3393.551|7062.047 3356.257|7068.883 3356.768|7075.727 3357.090
4107 RUNDLEHORN DR NE,6787.922 2521.561|6781.673 2525.263|6775.619 2529.278|6766.895 2535.393|6760.547 2534.270|6745.748 2513.043|6772.662 2494.196
124 RUNDLECAIRN RI NE,7670.428 2448.495|7659.278 2478.740|7644.297 2470.066|7658.754 2443.202|7661.599 2444.681|7664.500 2446.059|7667.443 2447.327
680 RUNDLERIDGE DR NE,6678.857 2511.019|6682.471 2508.907|6685.966 2506.605|6706.916 2491.927|6713.271 2493.061|6728.070 2514.266|6693.669 2538.362
135 RUNDLERIDGE RD NE,6612.426 2247.954|6604.730 2248.355|6597.075 2249.211|6589.483 2250.512|6581.983 2252.258|6572.860 2217.431|6611.727 2217.443
460 RUNDLELAWN WY NE,6662.939 3193.934|6662.939 3224.402|6625.834 3224.402|6621.276 3219.820|6621.276 3205.732|6657.165 3193.923
3 RUNDLEHILL PL NE,7179.752 3089.355|7181.772 3090.167|7183.884 3090.679|7186.051 3090.879|7188.218 3090.779|7190.357 3090.356|7192.405 3089.644|7194.334 3088.644|7196.103 3087.376|7200.682 3088.277|7207.281 3106.435|7180.703 3125.082|7162.416 3125.082
