ADDRESS,POINTS
501 TARADALE DR NE,9984.751 7241.496|9991.203 7226.618|9991.965 7224.550|9992.496 7222.415|9992.790 7220.236|9992.846 7218.023|9992.650 7215.832|9992.224 7213.675|9991.553 7211.574|9990.665 7209.561|9989.952 7208.004|9989.372 7206.392|9988.931 7204.735|9988.638 7203.045|10096.578 7203.012|10096.578 7206.992|10096.382 7208.972|10095.795 7210.862|10094.851 7212.608|10093.572 7214.142|10092.111 7218.890|10080.101 7229.198|10075.802 7231.533|10022.996 7283.228|10020.521 7285.796|10018.186 7288.487|10015.998 7291.312|10013.978 7294.247|10012.119 7297.283|10010.427 7300.430|10008.910 7303.654|10007.575 7306.957|10006.331 7309.648|10004.681 7312.105|10002.682 7314.296|10000.361 7316.141|9990.714 7322.702|9988.491 7324.003|9986.114 7324.992|9973.531 7329.296|9971.833 7329.718|9970.085 7329.852|9969.526 7329.752|9969.036 7329.485|9968.645 7329.073|9968.414 7328.562|9968.351 7328.006|9968.470 7327.461|9968.764 7326.972|9969.190 7326.605|9977.900 7321.312|9981.032 7319.199|9983.947 7316.797|9986.624 7314.140|9989.036 7311.238|9990.322 7309.347|9991.427 7307.346|9992.329 7305.255|9993.035 7303.087|9993.524 7300.863|9993.811 7298.595|9993.874 7296.326|9993.720 7294.047|9993.587 7293.046|9992.308 7284.929|9991.539 7281.560|9990.315 7278.324|9988.673 7275.288|9986.624 7272.497|9985.310 7271.052|9983.884 7269.718|9982.360 7268.494|9980.745 7267.394|9966.890 7258.676|9975.454 7252.794|9976.943 7251.693|9978.355 7250.492|9979.676 7249.191|9980.899 7247.801|9982.025 7246.333|9983.045 7244.788|9983.954 7243.175
100 TARARIDGE CL NE,9323.046 7082.955|9385.422 7083.010|9385.395 7114.979|9323.019 7114.923
505 TARADALE DR NE,9941.641 7261.122|9942.990 7260.110|9944.234 7258.976|9945.374 7257.731|9946.387 7256.385|9947.275 7254.951|9948.023 7253.439|9948.624 7251.860|9949.072 7250.236|9949.449 7247.857|9949.505 7245.455|9949.246 7243.075|9948.666 7240.740|9980.564 7240.729|9980.557 7230.966|9980.557 7221.203|9980.550 7211.440|9980.550 7201.677|9980.543 7191.914|9980.543 7182.151|9980.536 7172.389|9980.536 7169.386|9980.529 7144.734|9980.522 7125.142|9980.501 7081.898|9980.571 7069.266|9980.578 7067.298|9986.079 7068.444|9991.546 7069.733|9996.977 7071.168|10002.367 7072.747|10007.708 7074.459|10013.007 7076.327|10018.249 7078.340|10023.443 7080.486|10028.574 7082.765|10033.635 7085.190|10038.641 7087.747|10043.569 7090.427|10048.420 7093.251|10053.202 7096.198|10057.899 7099.278|10062.506 7102.480|10068.008 7106.539|10073.369 7110.787|10078.591 7115.201|10083.666 7119.782|10088.588 7124.519|10093.355 7129.423|10097.955 7134.482|10102.394 7139.675|10102.387 7210.273|10107.511 7216.477|10105.281 7218.523|10097.598 7226.051|10089.713 7233.768|10082.716 7240.618|10075.711 7247.479|10068.280 7254.751|10061.283 7261.600|10053.852 7268.872|10046.854 7275.733|10039.424 7283.005|10032.426 7289.855|10027.043 7295.137|10024.625 7297.650|10017.725 7304.844|10010.532 7312.361|10003.758 7319.433|9996.257 7327.261|9987.393 7336.512|10013.992 7357.828|9997.949 7374.574|9996.907 7375.486|9995.712 7376.187|9994.405 7376.654|9993.035 7376.876|9991.651 7376.832|9990.301 7376.542|9989.022 7376.009|9987.869 7375.241|9957.971 7351.279|9956.412 7349.922|9954.965 7348.455|9947.464 7340.204|9946.639 7339.303|9944.800 7337.535|9942.731 7336.034|9940.480 7334.822|9938.090 7333.933|9938.935 7331.064|9947.282 7302.687|9946.192 7294.647|9942.151 7264.869
505 TARADALE DR NE,9988.638 7203.045|9988.931 7204.735|9989.372 7206.392|9989.952 7208.004|9990.665 7209.561|9991.553 7211.574|9992.224 7213.675|9992.650 7215.832|9992.846 7218.023|9992.790 7220.236|9992.496 7222.415|9991.965 7224.550|9991.203 7226.618|9984.751 7241.496|9983.954 7243.175|9983.045 7244.788|9982.025 7246.333|9980.899 7247.801|9979.676 7249.191|9978.355 7250.492|9976.943 7251.693|9975.454 7252.794|9966.890 7258.676|9980.745 7267.394|9982.360 7268.494|9983.884 7269.718|9985.310 7271.052|9986.624 7272.497|9988.673 7275.288|9990.315 7278.324|9991.539 7281.560|9992.308 7284.929|9993.587 7293.046|9993.720 7294.047|9993.874 7296.326|9993.811 7298.595|9993.524 7300.863|9993.035 7303.087|9992.329 7305.255|9991.427 7307.346|9990.322 7309.347|9989.036 7311.238|9986.624 7314.140|9983.947 7316.797|9981.032 7319.199|9977.900 7321.312|9969.190 7326.605|9968.764 7326.972|9968.470 7327.461|9968.351 7328.006|9968.414 7328.562|9968.645 7329.073|9969.036 7329.485|9969.526 7329.752|9970.085 7329.852|9971.833 7329.718|9973.531 7329.296|9986.114 7324.992|9988.491 7324.003|9990.714 7322.702|10000.361 7316.141|10002.682 7314.296|10004.681 7312.105|10006.331 7309.648|10007.575 7306.957|10008.910 7303.654|10010.427 7300.430|10012.119 7297.283|10013.978 7294.247|10015.998 7291.312|10018.186 7288.487|10020.521 7285.796|10022.996 7283.228|10075.802 7231.533|10080.101 7229.198|10092.111 7218.890|10093.572 7214.142|10094.851 7212.608|10095.795 7210.862|10096.382 7208.972|10096.578 7206.992|10096.578 7203.012|10096.578 7145.402|10096.417 7143.611|10095.942 7141.888|10095.159 7140.275|10094.110 7138.819|10089.405 7133.626|10084.533 7128.600|10079.486 7123.741|10074.278 7119.059|10068.909 7114.567|10063.394 7110.253|10057.732 7106.128|10051.930 7102.202|10045.995 7098.477|10039.934 7094.964|10033.761 7091.661|10027.477 7088.559|10021.088 7085.690|10014.600 7083.032|10008.029 7080.597|10001.381 7078.396|10000.137 7078.095|9998.858 7077.951|9997.579 7077.984|9996.306 7078.173|9995.076 7078.518|9993.895 7079.029|9992.790 7079.674|9991.783 7080.464|9990.364 7082.032|9989.309 7083.844|9988.652 7085.846|9988.428 7087.936|9988.428 7089.826|9988.470 7200.465
200 TARADALE CL NE,9002.407 7201.911|9010.796 7274.310|8973.613 7252.816|8974.655 7250.703|8975.410 7248.468|8975.871 7246.155|8976.018 7243.798|8975.864 7241.441|8975.396 7239.128|8974.634 7236.893|8973.586 7234.780|8972.747 7233.134|8972.076 7231.422|8971.579 7229.632|8971.279 7227.819|8968.734 7205.814
4 TARALAKE MR NE,10339.839 7874.362|10339.818 7768.427|10339.874 7766.914|10339.874 7766.892|10388.912 7766.903|10388.912 7766.926|10388.878 7870.815|10388.885 7874.307|10388.864 7874.307
15 TARAVISTA DR NE,9192.835 7856.226|9205.306 7855.403|9217.784 7854.981|9230.262 7854.981|9242.432 7855.359|9246.018 7855.548|9254.903 7855.637|9267.374 7855.748|9273.589 7855.804|9276.728 7855.971|9279.845 7856.382|9282.816 7857.038|9285.731 7857.916|9289.492 7859.462|9293.071 7861.397|9296.210 7863.554|9299.118 7866.000|9301.621 7868.580|9303.872 7871.371|9305.256 7873.406|9306.507 7875.519|9307.611 7877.709|9308.583 7879.955|9309.758 7883.469|9310.589 7887.072|9336.440 7887.049|9339.942 7887.049|9340.621 7896.179|9341.075 7905.330|9341.236 7915.315|9341.145 7916.305|9341.159 7927.280|9341.166 7939.967|9337.671 7939.967|9312.260 7939.989|9311.233 7952.977|9305.955 7960.405|9302.019 7965.953|9297.832 7971.836|9297.259 7972.647|9288.388 7979.797|9278.804 7987.514|9278.475 7987.781|9268.863 7993.430|9258.888 7999.279|9248.919 8005.139|9238.944 8010.998|9228.976 8016.858|9224.166 8019.683|9219.993 8021.896|9215.568 8023.775|9210.996 8025.254|9206.312 8026.332|9201.559 8026.988|9196.428 8027.233|9190.787 8027.244|9178.616 8027.255|9166.446 8027.266|9154.275 8027.277|9144.293 8027.277|9140.917 8027.277|9136.492 8027.188|9132.074 8026.899|9125.957 8026.165|9119.896 8025.054|9114.521 8023.741|9109.229 8022.140|9107.726 8021.662|9104.741 8020.895|9101.700 8020.328|9098.638 8019.972|9095.555 8019.827|9092.941 8019.872|9090.333 8020.072|9087.740 8020.417|9085.175 8020.917|9082.644 8021.562|9080.155 8022.351|9077.716 8023.286|9075.332 8024.364|9072.948 8025.609|9070.648 8026.999|9068.432 8028.534|9066.314 8030.180|9064.301 8031.959|9062.393 8033.860|9060.603 8035.862|9058.939 8037.974|9057.499 8040.043|9056.171 8042.178|9054.969 8044.390|9053.885 8046.670|9052.934 8049.005|9052.124 8051.384|9051.438 8053.809|9050.893 8056.277|9050.278 8060.536|9050.082 8064.828|9050.089 8076.648|9050.110 8101.967|9050.110 8106.104|9050.110 8107.304|9050.110 8108.505|9050.117 8112.297|9039.422 8112.308|9028.167 8112.319|9016.906 8112.319|9005.644 8112.330|8994.389 8112.342|8983.135 8112.353|8971.873 8112.364|8971.894 8134.336|8971.894 8139.340|8971.894 8142.842|8948.909 8142.853|8943.708 8142.987|8938.528 8143.354|8933.362 8143.976|8928.238 8144.833|8923.156 8145.934|8918.130 8147.268|8913.181 8148.836|8908.308 8150.648|8907.463 8148.580|8906.987 8147.412|8904.583 8141.508|8902.290 8135.859|8899.990 8130.222|8897.697 8124.584|8895.397 8118.935|8892.482 8111.763|8889.560 8104.602|8887.267 8098.954|8884.967 8093.316|8882.087 8086.233|8877.292 8074.446|8877.096 8073.968|8876.271 8071.944|8872.818 8063.449|8868.819 8053.642|8871.979 8052.129|8876.879 8049.583|8881.668 8046.837|8887.288 8043.234|8892.720 8039.353|8897.935 8035.206|8902.933 8030.780|8907.700 8026.110|8912.216 8021.195|8915.774 8016.947|8919.137 8012.555|8919.451 8012.133|8926.470 8002.870|8933.754 7993.852|8941.276 7985.112|8948.916 7976.739|8950.978 7974.571|8959.346 7966.087|8968.000 7957.847|8976.913 7949.897|8986.071 7942.213|8995.459 7934.841|9005.085 7927.758|9015.123 7920.853|9025.385 7914.259|9035.878 7907.999|9043.735 7903.606|9051.697 7899.392|9060.617 7894.955|9061.812 7894.388|9063.015 7893.810|9071.180 7890.063|9079.428 7886.516|9087.754 7883.158|9096.164 7880.000|9099.505 7878.854|9108.858 7875.719|9114.514 7894.188|9112.899 7893.432|9110.669 7892.265|9108.320 7891.342|9105.880 7890.697|9103.385 7890.330|9100.861 7890.252|9098.345 7890.452|9095.870 7890.941|9093.465 7891.697|9085.279 7894.933|9077.177 7898.358|9069.152 7901.972|9061.225 7905.775|9053.382 7909.778|9045.643 7913.959|9038.003 7918.318|9030.474 7922.865|9023.050 7927.591|9015.745 7932.484|9008.559 7937.554|9001.498 7942.803|8994.557 7948.207|8987.755 7953.778|8981.086 7959.515|8974.557 7965.409|8972.803 7967.221|8971.258 7969.223|8969.957 7971.380|8968.909 7973.681|8968.119 7976.072|8967.609 7978.552|8967.385 7981.065|8967.441 7983.589|8967.399 7985.357|8966.987 7987.080|8966.232 7988.682|8965.155 7990.083|8963.806 7991.239|8962.254 7992.095|8960.555 7992.607|8958.787 7992.751|8956.130 7992.851|8953.509 7993.263|8950.950 7993.975|8948.497 7994.998|8946.183 7996.310|8944.037 7997.877|8942.100 7999.690|8940.388 8001.714|8906.148 8047.604|8904.946 8049.261|8897.578 8060.124|8896.585 8061.748|8895.740 8063.449|8895.733 8063.449|8894.810 8065.973|8894.223 8068.586|8893.964 8071.255|8894.055 8073.935|8894.062 8073.946|8894.600 8077.059|8895.607 8080.062|8897.054 8082.886|8898.906 8085.455|8901.437 8088.146|8904.247 8090.547|8907.302 8092.638|8910.559 8094.384|8913.992 8095.762|8917.550 8096.763|8921.199 8097.386|8924.897 8097.597|8926.791 8097.619|8937.899 8097.642|8939.605 8097.586|8941.297 8097.397|8942.974 8097.074|8944.617 8096.630|8946.225 8096.063|8947.777 8095.373|8949.280 8094.561|8950.713 8093.650|8952.076 8092.627|8953.348 8091.492|8954.536 8090.269|8955.627 8088.968|8956.613 8087.578|8957.486 8086.122|8958.255 8084.598|8958.899 8083.031|8959.430 8081.852|8960.129 8080.773|8960.989 8079.817|8961.981 8079.005|8963.086 8078.338|8964.281 8077.860|8965.532 8077.560|8966.819 8077.460|8968.098 8077.549|8969.356 8077.827|8970.552 8078.305|8971.663 8078.950|8972.670 8079.750|8973.537 8080.695|8974.250 8081.774|8974.795 8082.930|8975.808 8085.221|8977.074 8087.367|8978.570 8089.369|8980.282 8091.192|8982.184 8092.816|8984.260 8094.206|8986.476 8095.362|8988.804 8096.263|8991.209 8096.941|8993.655 8097.419|8996.137 8097.708|8998.632 8097.808|9001.736 8097.653|9004.819 8097.197|9007.839 8096.441|9010.768 8095.395|9013.585 8094.072|9016.255 8092.482|9018.765 8090.636|9021.079 8088.568|9023.183 8086.277|9025.049 8083.787|9026.671 8081.129|9028.020 8078.338|9029.097 8075.414|9029.880 8072.411|9030.369 8069.342|9030.551 8066.240|9030.691 8062.771|9031.026 8059.313|9031.558 8055.888|9032.285 8052.496|9033.207 8049.149|9034.319 8045.858|9035.612 8042.633|9037.087 8039.487|9038.744 8036.440|9040.575 8033.482|9042.568 8030.636|9044.721 8027.911|9047.020 8025.309|9049.474 8022.852|9052.054 8020.528|9054.773 8018.360|9057.604 8016.347|9060.547 8014.501|9063.595 8012.822|9066.727 8011.321|9069.949 8010.009|9073.235 8008.875|9076.576 8007.929|9079.974 8007.173|9083.406 8006.617|9086.859 8006.262|9090.333 8006.095|9093.815 8006.128|9097.282 8006.362|9100.728 8006.795|9104.154 8007.418|9107.530 8008.230|9110.061 8008.997|9112.906 8009.219|9115.751 8009.086|9118.554 8008.586|9121.273 8007.729|9123.867 8006.528|9126.279 8005.016|9128.474 8003.204|9130.424 8001.124|9131.137 8000.379|9131.934 7999.723|9132.808 7999.167|9133.737 7998.723|9134.716 7998.400|9135.730 7998.200|9136.757 7998.111|9137.792 7998.155|9138.812 7998.333|9139.798 7998.622|9140.749 7999.034|9141.637 7999.557|9142.454 8000.179|9143.195 8000.902|9143.839 8001.714|9144.377 8002.592|9145.272 8004.104|9146.278 8005.539|9147.397 8006.895|9148.620 8008.152|9149.934 8009.319|9151.339 8010.376|9152.821 8011.310|9154.373 8012.133|9156.680 8013.089|9159.071 8013.778|9161.531 8014.201|9164.020 8014.334|9195.526 8014.312|9198.106 8014.223|9200.671 8013.967|9203.209 8013.534|9205.718 8012.944|9208.186 8012.188|9210.591 8011.265|9212.932 8010.187|9215.197 8008.952|9268.821 7977.451|9272.589 7975.083|9276.203 7972.481|9279.650 7969.656|9282.914 7966.632|9285.983 7963.407|9288.849 7959.993|9291.491 7956.413|9293.917 7952.688|9295.490 7950.208|9296.734 7947.562|9297.322 7944.760|9297.552 7941.902|9297.412 7939.044|9296.909 7936.231|9296.049 7933.496|9294.847 7930.905|9293.330 7928.481|9291.505 7926.268|9290.632 7925.078|9289.975 7923.744|9289.562 7922.321|9289.408 7920.853|9289.506 7919.374|9289.863 7917.928|9290.471 7916.583|9291.303 7915.349|9292.379 7914.125|9294.386 7912.246|9296.140 7910.134|9297.622 7907.832|9298.810 7905.352|9299.426 7903.529|9299.880 7901.661|9300.174 7899.759|9300.299 7897.847|9300.306 7896.824|9300.174 7894.110|9299.775 7891.408|9299.118 7888.762|9298.209 7886.193|9297.049 7883.736|9295.658 7881.390|9294.043 7879.188|9292.218 7877.164|9290.212 7875.318|9288.031 7873.684|9285.703 7872.272|9283.243 7871.082|9280.684 7870.148|9278.042 7869.458|9275.350 7869.025|9272.624 7868.869|9245.207 7868.613|9244.858 7868.613|9234.079 7868.146|9223.285 7867.991|9212.814 7868.146|9202.349 7868.602|9191.905 7869.347|9181.482 7870.381|9171.094 7871.705|9160.742 7873.317|9150.445 7875.229|9140.204 7877.420|9137.771 7878.132|9135.429 7879.110|9133.213 7880.344|9131.158 7881.823|9129.277 7883.525|9127.607 7885.437|9126.160 7887.517|9124.964 7889.752|9124.063 7891.253|9118.386 7872.739|9123.748 7871.071|9154.506 7861.530|9155.708 7861.163|9168.186 7859.084|9180.664 7857.438
105 TARACOVE PL NE,8827.485 7984.979|8823.954 7985.813|8823.961 7948.907|8868.379 7919.630|8870.322 7920.119|8872.231 7920.742|8874.097 7921.498|8875.901 7922.365|8877.648 7923.366|8879.319 7924.467|8880.913 7925.690|8882.423 7927.013|8886.219 7930.560|8876.635 7941.524|8869.260 7950.464|8862.108 7959.582|8856.754 7966.754|8854.698 7968.500|8848.701 7973.593|8842.752 7978.641|8838.355 7982.377|8835.621 7983.033
508 TARACOVE ESTATE DR NE,9154.275 8027.277|9154.296 8057.256|9144.314 8057.256|9144.293 8027.277
33 TARALEA WY NE,8733.714 7499.391|8731.750 7499.891|8731.764 7426.447|8738.754 7426.447|8748.234 7426.447|8770.198 7412.458|8774.993 7412.458|8874.943 7408.978|8884.918 7408.633|8908.931 7407.799|8908.847 7451.732|8908.840 7457.726|8908.770 7494.454|8894.293 7494.420|8883.317 7494.409|8872.335 7494.387|8861.360 7494.365|8850.378 7494.342|8839.396 7494.320|8828.421 7494.298|8817.439 7494.287|8806.457 7494.265|8792.211 7489.561|8789.694 7488.738|8778.139 7488.716|8775.405 7488.705|8758.908 7492.930
215 TARAVISTA WY NE,9940.117 7637.873|9993.678 7637.839|10035.593 7637.828|10069.028 7637.817|10070.294 7637.940|10071.510 7638.306|10072.635 7638.907|10073.614 7639.719|10074.425 7640.697|10075.026 7641.820|10075.390 7643.043|10075.515 7644.300|10075.522 7650.605|10075.508 7682.784|10075.571 7766.914|10035.642 7766.903|9803.942 7766.903|9803.341 7766.903|9801.880 7766.903|9801.894 7762.622|9801.866 7756.840|9801.880 7736.636|9801.873 7717.844|9801.873 7708.070|9801.866 7698.296|9801.866 7687.899|9801.859 7677.514|9801.859 7667.117|9801.852 7656.731|9801.845 7646.935|9801.845 7640.942|9801.845 7637.940|9835.777 7637.928|9850.003 7637.917
132 TARINGTON WY NE,10219.219 7608.551|10219.247 7666.961|10217.247 7668.941|10185.804 7668.952|10185.804 7644.255|10185.783 7608.562
39 TARAWOOD GV NE,9243.663 8401.926|9243.607 8432.905|9216.833 8432.861|9216.882 8401.882
6320 TARALEA PA NE,9163.139 7677.369|9162.391 7666.405|9161.636 7655.442|9160.888 7644.467|9159.896 7630.011|9158.602 7611.153|9156.666 7582.820|9155.946 7572.257|9161.252 7571.512|9173.143 7570.055|9184.481 7568.965|9195.848 7568.154|9207.815 7567.609|9219.203 7567.386|9230.597 7567.442|9242.572 7567.809|9243.942 7536.363|9244.096 7532.860|9253.240 7533.350|9262.376 7534.006|9269.003 7534.506|9277.378 7535.006|9285.766 7535.362|9294.155 7535.585|9302.543 7535.674|9373.909 7535.785|9375.174 7535.918|9376.391 7536.296|9377.516 7536.897|9378.495 7537.708|9379.299 7538.687|9379.900 7539.810|9380.264 7541.033|9380.382 7542.301|9380.382 7543.791|9380.201 7652.862|9380.271 7659.878|9380.487 7666.884|9380.858 7673.889|9381.382 7680.883|9382.060 7687.866|9382.885 7694.827|9383.864 7701.765|9384.996 7708.693|9386.282 7715.587|9387.715 7722.448|9389.295 7729.275|9391.029 7736.069|9392.909 7742.830|9394.937 7749.546|9397.104 7756.206|9399.424 7762.834|9400.781 7766.625|9369.561 7766.548|9167.676 7766.247|9167.718 7744.275|9166.040 7719.746|9164.838 7702.244|9163.887 7688.344
27 TARALAKE PA NE,9713.611 8085.310|9719.532 8085.421|9725.439 8085.799|9731.318 8086.422|9737.176 8087.300|9742.985 8088.424|9748.739 8089.802|9754.436 8091.415|9760.049 8093.272|9765.586 8095.362|9771.024 8097.697|9776.358 8100.255|9781.580 8103.046|9786.676 8106.048|9791.639 8109.261|9796.456 8112.697|9801.125 8116.322|9806.739 8120.881|9807.787 8121.915|9808.605 8123.139|9809.178 8124.495|9809.472 8125.930|9809.479 8127.397|9809.199 8128.843|9808.647 8130.199|9807.836 8131.423|9794.512 8147.868|9793.338 8149.036|9791.926 8149.914|9790.360 8150.459|9788.710 8150.637|9704.720 8150.715|9703.252 8150.570|9701.846 8150.148|9700.553 8149.458|9699.414 8148.524|9698.484 8147.390|9697.792 8146.100|9697.366 8144.688|9697.226 8143.231|9697.212 8133.858|9696.960 8121.671|9696.226 8109.506|9695.681 8101.255|9695.366 8092.982|9695.478 8091.504|9695.884 8090.069|9696.562 8088.746|9697.491 8087.578|9698.631 8086.622|9699.938 8085.911|9701.364 8085.466|9702.846 8085.310
