ADDRESS,POINTS
2204 WOODPARK AV SW,-2738.169 -11216.361|-2734.513 -11213.592|-2730.752 -11210.991|-2726.879 -11208.533|-2722.909 -11206.254|-2718.854 -11204.130|-2714.709 -11202.184|-2710.487 -11200.405|-2706.194 -11198.815|-2701.846 -11197.391|-2697.435 -11196.157|-2692.982 -11195.112|-2688.488 -11194.245|-2683.958 -11193.566|-2679.407 -11193.077|-2674.842 -11192.777|-2670.263 -11192.677|-2662.798 -11192.654|-2661.330 -11192.577|-2659.876 -11192.354|-2658.450 -11191.998|-2657.072 -11191.487|-2655.395 -11190.653|-2653.836 -11189.619|-2652.424 -11188.396|-2651.165 -11187.006|-2650.096 -11185.471|-2649.229 -11183.814|-2648.572 -11182.058|-2648.139 -11180.234|-2644.490 -11159.129|-2650.557 -11159.140|-2661.392 -11159.174|-2662.923 -11159.252|-2664.433 -11159.496|-2665.908 -11159.885|-2667.341 -11160.430|-2668.712 -11161.120|-2669.998 -11161.942|-2671.200 -11162.899|-2672.291 -11163.966|-2675.332 -11167.057|-2678.554 -11169.960|-2681.958 -11172.650|-2685.517 -11175.119|-2689.222 -11177.365|-2693.059 -11179.378|-2697.016 -11181.146|-2701.070 -11182.669|-2704.685 -11183.970|-2708.243 -11185.405|-2711.752 -11186.961|-2715.198 -11188.663|-2718.575 -11190.486|-2721.888 -11192.432|-2725.125 -11194.500|-2728.284 -11196.680|-2743.635 -11207.744|-2747.438 -11210.268|-2751.416 -11212.492|-2755.554 -11214.404|-2759.825 -11215.994|-2764.201 -11217.251|-2768.668 -11218.174|-2773.191 -11218.752|-2777.742 -11218.974|-2782.293 -11218.852|-2786.830 -11218.374|-2791.311 -11217.562|-2795.715 -11216.406|-2800.021 -11214.905|-2804.201 -11213.092|-2808.234 -11210.957|-2812.086 -11208.522|-2814.973 -11206.687|-2818.000 -11205.097|-2821.132 -11203.729|-2824.361 -11202.606|-2827.668 -11201.739|-2831.030 -11201.128|-2834.428 -11200.772|-2837.846 -11200.672|-2841.747 -11200.527|-2845.620 -11199.993|-2849.415 -11199.082|-2853.106 -11197.803|-2856.650 -11196.168|-2860.027 -11194.189|-2863.187 -11191.887|-2866.102 -11189.285|-2869.716 -11186.038|-2873.609 -11183.125|-2877.741 -11180.568|-2882.089 -11178.399|-2886.612 -11176.620|-2891.267 -11175.252|-2896.035 -11174.307|-2900.865 -11173.796|-2905.724 -11173.718|-2910.561 -11174.063|-2915.357 -11174.852|-2920.061 -11176.064|-2924.640 -11177.699|-2929.051 -11179.722|-2933.266 -11182.135|-2937.251 -11184.926|-2937.237 -11194.923|-2931.302 -11194.789|-2925.374 -11194.978|-2919.460 -11195.490|-2913.581 -11196.324|-2907.758 -11197.469|-2902.005 -11198.926|-2896.335 -11200.694|-2890.771 -11202.762|-2825.788 -11228.960|-2820.342 -11230.939|-2814.785 -11232.562|-2809.129 -11233.819|-2803.404 -11234.708|-2797.630 -11235.209|-2791.835 -11235.331|-2786.047 -11235.075|-2780.294 -11234.442|-2774.589 -11233.430|-2768.962 -11232.040|-2763.439 -11230.294|-2758.043 -11228.181|-2752.793 -11225.724|-2747.718 -11222.922|-2742.832 -11219.797
1991 WOODVIEW DR SW,-2325.339 -11854.609|-2430.078 -11854.476|-2429.658 -12033.811|-2426.114 -12033.811|-2385.003 -12033.833|-2363.822 -12033.844|-2345.640 -12033.855|-2327.457 -12033.855|-2324.934 -12033.855|-2324.948 -12027.762
104 WOOD OAK WY SW,-2542.016 -12261.449|-2522.240 -12206.541|-2529.671 -12205.429|-2537.067 -12204.161|-2544.442 -12202.727|-2551.782 -12201.148|-2557.759 -12204.406|-2562.093 -12216.437|-2532.859 -12227.068|-2538.940 -12243.969|-2545.903 -12263.284
136 WOOD WILLOW CL SW,-2277.545 -12279.629|-2277.615 -12243.080|-2280.649 -12243.091|-2313.616 -12278.562|-2311.729 -12280.630|-2310.177 -12282.965|-2309.003 -12285.500|-2308.227 -12288.191|-2307.870 -12290.971|-2307.940 -12293.773|-2308.436 -12296.531|-2309.345 -12299.189|-2309.995 -12300.945|-2310.471 -12302.758|-2310.750 -12304.615|-2310.841 -12306.494|-2310.841 -12307.228|-2277.489 -12307.150|-2277.489 -12305.527
183 WOODPARK CI SW,-3018.382 -11416.067|-3038.724 -11416.045|-3044.527 -11429.789|-3045.981 -11433.436|-3047.281 -11437.139|-3048.413 -11440.897|-3049.392 -11444.700|-3050.210 -11448.547|-3050.860 -11452.417|-3051.349 -11456.320|-3051.678 -11460.234|-3018.431 -11462.513
66 WOODGREEN DR SW,-2430.078 -11854.476|-2440.081 -11854.453|-2439.731 -12003.265|-2439.655 -12033.744|-2439.291 -12187.927|-2429.295 -12187.916|-2429.337 -12169.635|-2429.379 -12151.366|-2429.427 -12132.474|-2429.469 -12113.293|-2429.511 -12095.024|-2429.560 -12073.263|-2429.658 -12033.811
100 WOODSTOCK RD SW,-3012.552 -11416.078|-3018.382 -11416.067|-3018.431 -11462.513|-2989.581 -11462.502|-2989.616 -11460.601|-2989.414 -11458.699|-2988.966 -11456.842|-2988.288 -11455.052|-2987.386 -11453.373|-2986.282 -11451.816|-2984.989 -11450.415|-2983.521 -11449.192|-2981.920 -11448.169|-2980.193 -11447.358|-2978.383 -11446.768|-2976.509 -11446.412|-2974.608 -11446.301|-2972.706 -11446.435|-2970.840 -11446.813|-2969.029 -11447.424|-2969.036 -11416.112|-2973.769 -11416.112|-2997.634 -11416.090
164 WOODVALE RD SW,-3071.328 -12008.658|-3102.058 -12008.636|-3098.640 -12029.196|-3097.521 -12036.357|-3096.536 -12043.540|-3095.690 -12050.746|-3094.977 -12057.962|-3063.135 -12057.951
224 WOODPARK PL SW,-2569.433 -11298.846|-2598.723 -11298.890|-2598.569 -11365.907|-2569.279 -11365.852|-2567.832 -11364.006|-2566.119 -11362.416|-2564.190 -11361.104|-2562.079 -11360.103|-2572.558 -11332.349|-2562.205 -11304.550|-2564.323 -11303.560|-2566.259 -11302.259|-2567.979 -11300.669
128 WOODSIDE CI SW,-2829.465 -12424.138|-2840.314 -12395.695|-2844.711 -12397.274|-2849.171 -12398.641|-2853.687 -12399.820|-2858.258 -12400.776|-2862.865 -12401.532|-2867.500 -12402.077|-2872.155 -12402.400|-2876.825 -12402.511|-2878.237 -12402.522|-2878.181 -12432.978|-2876.769 -12432.978|-2870.722 -12432.823|-2864.690 -12432.400|-2858.685 -12431.700|-2852.715 -12430.721|-2846.794 -12429.476|-2840.936 -12427.963|-2835.162 -12426.184
