ADDRESS,POINTS
329 STONEY TR SE,4376.068 -17319.584|4370.937 -17319.573|4083.271 -17319.172|3810.524 -17318.806|3821.387 -17338.932|3827.567 -17338.932|4083.306 -17339.232|4246.317 -17339.443|4317.459 -17339.566|4385.358 -17339.688|4391.132 -17339.688|4379.444 -17323.431
333 STONEY TR SE,4391.132 -17339.688|4385.358 -17339.688|4317.459 -17339.566|4246.317 -17339.443|4083.306 -17339.232|3827.567 -17338.932|3821.387 -17338.932|3885.441 -17455.408|3894.661 -17472.166|3917.674 -17514.008|3921.756 -17521.436|3927.545 -17532.066|4082.593 -17506.036|4247.387 -17465.027|4251.120 -17464.126|4267.205 -17459.656|4272.161 -17458.288|4391.747 -17425.119|4450.495 -17408.829|4460.575 -17406.005|4457.010 -17402.268|4439.255 -17377.739|4437.856 -17376.449|4425.546 -17365.007|4417.346 -17357.390|4406.965 -17350.374
333 STONEY TR SE,4391.132 -17339.688|4385.358 -17339.688|4317.459 -17339.566|4246.317 -17339.443|4083.306 -17339.232|3827.567 -17338.932|3821.387 -17338.932|3885.441 -17455.408|3894.661 -17472.166|3917.674 -17514.008|3921.756 -17521.436|3927.545 -17532.066|4082.593 -17506.036|4247.387 -17465.027|4251.120 -17464.126|4267.205 -17459.656|4272.161 -17458.288|4391.747 -17425.119|4450.495 -17408.829|4460.575 -17406.005|4457.010 -17402.268|4439.255 -17377.739|4437.856 -17376.449|4425.546 -17365.007|4417.346 -17357.390|4406.965 -17350.374
329 STONEY TR SE,3787.267 -17318.083|3667.764 -17317.927|3506.068 -17338.531|3737.264 -17338.809|3798.535 -17338.898
563 STONEY TR SE,1655.661 -17580.114|1667.649 -17580.125|1669.124 -17580.125|1669.117 -17546.066|1669.180 -17527.774|1669.187 -17522.770|1669.180 -17512.029|1669.257 -17493.804|1669.460 -17360.982|1660.072 -17364.974|1655.052 -17367.242|1649.348 -17369.922|1648.328 -17370.456|1649.166 -17512.062|1649.124 -17546.032|1649.138 -17580.147
555 STONEY TR SE,1739.854 -17635.922|1740.001 -17579.869|1740.001 -17579.824|1740.064 -17545.988|1713.842 -17545.899|1679.072 -17545.821|1669.131 -17545.821|1669.117 -17551.536|1669.054 -17579.880|1669.054 -17580.125|1668.991 -17609.458|1668.991 -17609.680|1668.928 -17635.767|1704.692 -17635.833
411 STONEY TR SE,3269.279 -17332.716|3220.591 -17326.823|3146.750 -17317.894|3146.492 -17317.860|3146.254 -17317.860|2748.279 -17317.049|2743.316 -17317.049|2502.815 -17316.570|2502.641 -17316.570|2502.389 -17316.570|2469.723 -17316.515|2308.585 -17320.540|2303.859 -17320.662|2300.805 -17320.740|2192.557 -17322.920|2192.550 -17328.012|1823.075 -17334.862|1813.142 -17335.040|1797.868 -17335.329|1793.625 -17335.407|2469.604 -17336.652|2469.681 -17336.652|2926.690 -17337.575|3269.720 -17338.276
393 STONEY TR SE,3289.726 -17338.242|3289.733 -17335.162|3269.762 -17332.749|3269.741 -17338.254|3277.955 -17338.265|3289.726 -17338.276
439 STONEY TR SE,2991.198 -17688.962|3000.433 -17691.153|3035.140 -17699.370|3036.301 -17699.637|3037.482 -17699.915|3055.615 -17704.207|3079.802 -17709.934|3100.690 -17714.882|3119.529 -17719.341|3119.515 -17724.345|3119.487 -17739.322|3120.690 -17739.322|3156.516 -17739.411|3167.225 -17739.445|3173.111 -17739.445|3183.884 -17739.467|3202.702 -17739.512|3208.777 -17739.523|3234.187 -17739.578|3237.214 -17739.589|3239.073 -17739.589|3244.225 -17739.612|3243.170 -17733.685|3240.486 -17718.696|3239.849 -17715.149|3239.360 -17710.912|3239.339 -17706.642|3239.800 -17702.406|3240.730 -17698.236|3241.443 -17695.979|3242.296 -17693.777|3243.289 -17691.620|3244.407 -17689.541|3245.659 -17687.528|3247.029 -17685.604|3248.518 -17683.758|3250.111 -17682.024|3253.124 -17679.255|3256.417 -17676.831|3259.954 -17674.774|3263.687 -17673.117|3266.162 -17672.272|3268.692 -17671.605|3268.713 -17665.467|3268.804 -17635.767|3269.174 -17514.386|3269.181 -17511.328|3269.720 -17338.276|2926.690 -17337.575|2469.604 -17336.652|2469.051 -17579.558|2493.763 -17579.546|2501.711 -17579.546|2503.745 -17579.546|2528.897 -17579.546|2530.833 -17580.002|2550.609 -17584.684|2564.919 -17588.064|2579.228 -17591.444|2590.448 -17594.102|2601.088 -17596.615|2611.720 -17599.139|2622.940 -17601.785|2634.153 -17604.443|2645.372 -17607.089|2656.585 -17609.747|2667.224 -17612.271|2677.864 -17614.784|2688.497 -17617.308|2699.136 -17619.821|2710.356 -17622.479|2721.568 -17625.136|2733.368 -17627.927|2745.168 -17630.718|2756.381 -17633.376|2763.015 -17634.944|2765.021 -17635.422|2767.601 -17636.034|2778.820 -17638.691|2789.453 -17641.204|2801.637 -17644.095|2822.161 -17648.954|2827.257 -17650.155|2832.354 -17651.367|2849.963 -17655.548|2851.717 -17655.949|2852.878 -17656.227|2854.038 -17656.505|2864.468 -17658.962|2893.478 -17665.834|2916.393 -17671.249|2926.229 -17673.584|2942.307 -17677.387|2943.460 -17677.654|2944.628 -17677.932|2979.412 -17686.171|2989.870 -17688.651
439 STONEY TR SE,2991.198 -17688.962|3000.433 -17691.153|3035.140 -17699.370|3036.301 -17699.637|3037.482 -17699.915|3055.615 -17704.207|3079.802 -17709.934|3100.690 -17714.882|3119.529 -17719.341|3119.515 -17724.345|3119.487 -17739.322|3120.690 -17739.322|3156.516 -17739.411|3167.225 -17739.445|3173.111 -17739.445|3183.884 -17739.467|3202.702 -17739.512|3208.777 -17739.523|3234.187 -17739.578|3237.214 -17739.589|3239.073 -17739.589|3244.225 -17739.612|3243.170 -17733.685|3240.486 -17718.696|3239.849 -17715.149|3239.360 -17710.912|3239.339 -17706.642|3239.800 -17702.406|3240.730 -17698.236|3241.443 -17695.979|3242.296 -17693.777|3243.289 -17691.620|3244.407 -17689.541|3245.659 -17687.528|3247.029 -17685.604|3248.518 -17683.758|3250.111 -17682.024|3253.124 -17679.255|3256.417 -17676.831|3259.954 -17674.774|3263.687 -17673.117|3266.162 -17672.272|3268.692 -17671.605|3268.713 -17665.467|3268.804 -17635.767|3269.174 -17514.386|3269.181 -17511.328|3269.720 -17338.276|2926.690 -17337.575|2469.604 -17336.652|2469.051 -17579.558|2493.763 -17579.546|2501.711 -17579.546|2503.745 -17579.546|2528.897 -17579.546|2530.833 -17580.002|2550.609 -17584.684|2564.919 -17588.064|2579.228 -17591.444|2590.448 -17594.102|2601.088 -17596.615|2611.720 -17599.139|2622.940 -17601.785|2634.153 -17604.443|2645.372 -17607.089|2656.585 -17609.747|2667.224 -17612.271|2677.864 -17614.784|2688.497 -17617.308|2699.136 -17619.821|2710.356 -17622.479|2721.568 -17625.136|2733.368 -17627.927|2745.168 -17630.718|2756.381 -17633.376|2763.015 -17634.944|2765.021 -17635.422|2767.601 -17636.034|2778.820 -17638.691|2789.453 -17641.204|2801.637 -17644.095|2822.161 -17648.954|2827.257 -17650.155|2832.354 -17651.367|2849.963 -17655.548|2851.717 -17655.949|2852.878 -17656.227|2854.038 -17656.505|2864.468 -17658.962|2893.478 -17665.834|2916.393 -17671.249|2926.229 -17673.584|2942.307 -17677.387|2943.460 -17677.654|2944.628 -17677.932|2979.412 -17686.171|2989.870 -17688.651
