ADDRESS,POINTS
6551 STONEY TR NE,9149.046 14463.629|9148.921 14463.762|9026.636 14585.799|9018.814 14593.616|9009.321 14603.101|8926.099 14603.034|8909.161 14603.023|8898.857 14603.012|8749.590 14602.901|8714.323 14602.889|8714.302 14532.959|8714.749 14310.024|8749.198 14310.002|9325.409 14309.824|9340.264 14309.824|9517.787 14309.757|9517.843 14418.395|9517.836 14433.384|9440.256 14433.428|9340.278 14433.395|9325.423 14433.384|9179.420 14433.317
6543 STONEY TR NE,9517.815 14261.054|9517.801 14281.392|9517.787 14309.757|9340.264 14309.824|9325.409 14309.824|8749.198 14310.002|8714.749 14310.024|8714.707 14261.288
6535 STONEY TR NE,9517.794 14242.740|9517.815 14261.054|8714.707 14261.288|8714.232 14243.085|8749.093 14243.018|9447.938 14242.774
6635 STONEY TR NE,10340.706 14310.325|10340.783 14723.992|10314.953 14711.994|10274.311 14693.213|10268.341 14690.489|10263.350 14688.265|9851.932 14496.932|9851.848 14496.887|9716.198 14433.795|9537.948 14433.417|9537.920 14309.780
5815 STONEY TR NE,2683.806 14641.596|2682.981 14642.375|2682.967 14642.375|2668.762 14642.353|2655.683 14642.341|2460.936 14642.063|2443.522 14642.041|2443.187 14305.665|3224.093 14306.811|3240.213 14306.811|3241.415 14435.119|3224.890 14435.096|2943.327 14434.618
5815 STONEY TR NE,2683.806 14641.596|2682.981 14642.375|2682.967 14642.375|2668.762 14642.353|2655.683 14642.341|2460.936 14642.063|2443.522 14642.041|2443.187 14305.665|3224.093 14306.811|3240.213 14306.811|3241.415 14435.119|3224.890 14435.096|2943.327 14434.618
6793 STONEY TR NE,10741.079 12836.013|10741.365 12718.914|10749.020 12748.336|10757.045 12777.647|10765.448 12806.869|10774.207 12835.980
13900 68 ST NE,9716.198 14433.795|9851.848 14496.887|9575.990 14496.587|9538.018 14479.074|9532.950 14476.561|9517.836 14469.533|9440.256 14433.428|9517.836 14433.384|9537.997 14433.417
6825 STONEY TR NE,10691.279 12462.876|10692.509 12472.183|10692.614 12472.873|10698.556 12512.391|10698.654 12513.036|10700.177 12522.043|10705.197 12551.788|10705.525 12553.767|10707.881 12566.366|10712.509 12591.084|10713.124 12594.376|10715.759 12607.207|10721.442 12634.839|10685.134 12634.839|10687.091 12431.230
5815 STONEY TR NE,8816.586 14646.144|8714.358 14808.433|8714.330 14646.200|8714.323 14602.889|8749.590 14602.901|8898.857 14603.012|8909.161 14603.023|8926.099 14603.034|8909.392 14618.457|8906.505 14621.125|8898.627 14621.125|8832.406 14621.048
