ADDRESS,POINTS
10111 CROWCHILD TR NW,-11213.850 9382.755|-11344.816 9470.243|-11352.597 9475.302|-11358.699 9479.361|-11368.759 9486.233|-11368.703 9441.121|-11368.577 9383.144
10205R CROWCHILD TR NW,-11393.855 9383.188|-11416.266 9383.122|-11429.219 9383.111|-11438.363 9383.099|-11509.771 9383.010|-11526.953 9382.977|-11457.006 9338.188|-11407.738 9214.016|-11400.537 9195.903|-11391.191 9172.341|-11389.199 9167.003|-11388.430 9165.380|-11388.661 9367.832|-11388.675 9383.166
10205 CROWCHILD TR NW,-11393.855 9383.188|-11388.675 9383.166|-11388.744 9416.691|-11388.779 9432.403|-11388.996 9536.226|-11420.558 9557.409|-11436.510 9533.313|-11452.176 9509.017|-11469.575 9481.229|-11486.597 9453.208|-11503.221 9424.964|-11519.459 9396.487|-11526.953 9382.977|-11509.771 9383.010|-11438.363 9383.099|-11429.219 9383.111|-11416.266 9383.122
255 TUSCANY RAVINE RD NW,-11391.485 6957.949|-11436.762 6957.860|-11499.313 6957.705|-11499.285 6947.953|-11499.243 6934.732|-11499.201 6922.256|-11499.166 6911.914|-11499.131 6901.529|-11499.096 6891.132|-11499.068 6881.336|-11499.033 6870.950|-11498.998 6860.554|-11498.963 6850.112|-11498.928 6839.126|-11498.893 6828.129|-11498.858 6817.143|-11498.803 6799.886|-11498.712 6773.010|-11498.677 6761.501|-11498.628 6747.024|-11498.516 6710.629|-11501.815 6710.151|-11538.515 6742.843|-11605.275 6643.223|-11645.589 6583.033|-11647.120 6580.754|-11663.512 6556.280|-11572.874 6543.159|-11563.562 6541.813|-11481.648 6529.960|-11391.331 6516.872|-11391.345 6535.742|-11391.359 6571.747|-11391.401 6705.225
9611 CROWCHILD TR NW,-11337.644 8900.380|-11336.861 8896.332|-11338.050 8889.405|-11340.203 8876.762|-11342.321 8864.319|-11344.425 8851.977|-11346.403 8840.335|-11348.242 8829.527|-11350.695 8815.149|-11354.281 8794.078|-11356.400 8781.590|-11361.111 8753.936|-11365.487 8728.239|-11367.528 8716.241|-11368.262 8711.949|-11368.046 8656.574|-11367.892 8612.919|-11367.752 8580.205|-11075.222 8580.339|-11047.546 8580.350|-11045.575 8580.350|-11036.005 8619.591|-11035.474 8621.759|-11034.866 8624.238|-11025.470 8662.745|-11019.577 8686.908|-11019.291 8688.076|-11019.004 8689.243|-11012.342 8716.553|-11005.331 8745.285|-10998.340 8773.918|-10996.278 8781.768|-10994.475 8787.784|-10992.503 8793.755|-10992.105 8794.900|-10991.699 8796.035|-10988.267 8804.997|-10984.443 8813.792|-10980.857 8821.220|-10976.991 8828.492|-10972.860 8835.631|-10968.463 8842.592|-10963.150 8850.320|-10957.509 8857.815|-10953.266 8863.030|-10948.862 8868.133|-10944.283 8873.115|-10939.543 8877.952|-10931.952 8885.135|-10924.025 8891.951|-10918.509 8896.321|-10912.854 8900.513|-10907.066 8904.528|-10901.152 8908.342|-10894.476 8912.356|-10887.660 8916.114|-10880.712 8919.639|-10873.644 8922.908|-10870.890 8924.109|-10863.550 8927.078|-10856.105 8929.780|-10846.374 8932.860|-10836.504 8935.495|-10826.528 8937.664|-10816.462 8939.365|-10809.514 8940.266|-10802.537 8940.933|-10795.540 8941.389|-10788.535 8941.611|-10782.216 8941.633|-10775.896 8941.455|-10769.584 8941.111|-10763.286 8940.577|-10753.764 8939.421|-10744.306 8937.853|-10725.754 8934.361|-10685.880 8926.855|-10566.112 8904.283|-10566.175 8936.174|-10566.210 8950.473|-10806.501 9110.872|-11213.850 9382.755|-11368.577 9383.144|-11368.570 9367.910|-11368.570 9367.799|-11368.423 9222.868|-11368.248 9060.056|-11366.690 9051.939|-11364.508 9040.575|-11362.334 9029.210|-11360.265 9018.436|-11357.735 9005.215|-11352.660 8978.750|-11349.787 8963.739|-11344.467 8935.973|-11340.119 8913.279
9611 CROWCHILD TR NW,-11337.644 8900.380|-11336.861 8896.332|-11338.050 8889.405|-11340.203 8876.762|-11342.321 8864.319|-11344.425 8851.977|-11346.403 8840.335|-11348.242 8829.527|-11350.695 8815.149|-11354.281 8794.078|-11356.400 8781.590|-11361.111 8753.936|-11365.487 8728.239|-11367.528 8716.241|-11368.262 8711.949|-11368.046 8656.574|-11367.892 8612.919|-11367.752 8580.205|-11075.222 8580.339|-11047.546 8580.350|-11045.575 8580.350|-11036.005 8619.591|-11035.474 8621.759|-11034.866 8624.238|-11025.470 8662.745|-11019.577 8686.908|-11019.291 8688.076|-11019.004 8689.243|-11012.342 8716.553|-11005.331 8745.285|-10998.340 8773.918|-10996.278 8781.768|-10994.475 8787.784|-10992.503 8793.755|-10992.105 8794.900|-10991.699 8796.035|-10988.267 8804.997|-10984.443 8813.792|-10980.857 8821.220|-10976.991 8828.492|-10972.860 8835.631|-10968.463 8842.592|-10963.150 8850.320|-10957.509 8857.815|-10953.266 8863.030|-10948.862 8868.133|-10944.283 8873.115|-10939.543 8877.952|-10931.952 8885.135|-10924.025 8891.951|-10918.509 8896.321|-10912.854 8900.513|-10907.066 8904.528|-10901.152 8908.342|-10894.476 8912.356|-10887.660 8916.114|-10880.712 8919.639|-10873.644 8922.908|-10870.890 8924.109|-10863.550 8927.078|-10856.105 8929.780|-10846.374 8932.860|-10836.504 8935.495|-10826.528 8937.664|-10816.462 8939.365|-10809.514 8940.266|-10802.537 8940.933|-10795.540 8941.389|-10788.535 8941.611|-10782.216 8941.633|-10775.896 8941.455|-10769.584 8941.111|-10763.286 8940.577|-10753.764 8939.421|-10744.306 8937.853|-10725.754 8934.361|-10685.880 8926.855|-10566.112 8904.283|-10566.175 8936.174|-10566.210 8950.473|-10806.501 9110.872|-11213.850 9382.755|-11368.577 9383.144|-11368.570 9367.910|-11368.570 9367.799|-11368.423 9222.868|-11368.248 9060.056|-11366.690 9051.939|-11364.508 9040.575|-11362.334 9029.210|-11360.265 9018.436|-11357.735 9005.215|-11352.660 8978.750|-11349.787 8963.739|-11344.467 8935.973|-11340.119 8913.279
256 TUSCANY RAVINE RD NW,-11388.961 8060.325|-11388.087 8444.481|-11388.080 8447.483|-11387.822 8560.068|-11387.836 8566.628|-11387.836 8576.825|-11391.282 8576.803|-11392.736 8568.307|-11395.742 8550.783|-11400.537 8522.529|-11400.202 8444.459|-11399.706 8326.125|-11399.370 8247.888|-11399.111 8189.444
256 TUSCANY RAVINE RD NW,-11460.683 7006.074|-11419.782 7003.161|-11418.042 7003.139|-11416.308 7003.317|-11414.609 7003.695|-11412.966 7004.273|-11411.401 7005.029|-11409.933 7005.974|-11408.590 7007.075|-11407.374 7008.320|-11405.815 7009.933|-11404.075 7011.334|-11402.180 7012.513|-11400.146 7013.458|-11398.021 7014.147|-11395.826 7014.581|-11393.589 7014.736|-11391.352 7014.625|-11390.527 7380.012|-11390.394 7437.399|-11408.982 7391.999|-11412.491 7383.425|-11419.356 7366.657|-11420.390 7364.122|-11424.039 7355.215|-11427.975 7345.597|-11432.134 7335.434|-11436.077 7325.815|-11440.013 7316.197|-11443.948 7306.579|-11448.108 7296.404|-11453.462 7283.339|-11461.774 7263.024|-11469.799 7243.442|-11470.239 7242.341|-11477.405 7224.850|-11486.346 7202.989|-11491.134 7191.303|-11495.070 7181.684|-11498.600 7173.056|-11499.998 7169.620|-11499.984 7165.083|-11499.956 7155.531|-11499.921 7145.746|-11499.893 7135.350|-11499.858 7124.953|-11499.823 7115.168|-11499.788 7104.771|-11499.760 7094.374|-11499.718 7081.687|-11499.676 7069.155|-11499.634 7055.356|-11499.585 7040.700|-11499.516 7019.629|-11499.509 7017.928|-11494.944 7015.659|-11490.267 7013.602|-11485.507 7011.768|-11480.662 7010.166|-11475.741 7008.787|-11470.771 7007.653|-11465.745 7006.741
256 TUSCANY RAVINE RD NW,-11391.450 6974.106|-11391.436 6977.608|-11462.347 6982.646|-11467.115 6983.224|-11471.854 6983.969|-11476.559 6984.881|-11481.235 6985.970|-11485.863 6987.227|-11490.442 6988.661|-11494.965 6990.251|-11499.432 6992.008|-11499.411 6988.228|-11499.376 6975.440|-11499.327 6960.896|-11499.313 6957.705|-11436.762 6957.860|-11391.485 6957.949
260 TUSCANY RAVINE RD NW,-11407.374 7008.320|-11408.590 7007.075|-11409.933 7005.974|-11411.401 7005.029|-11412.966 7004.273|-11414.609 7003.695|-11416.308 7003.317|-11418.042 7003.139|-11419.782 7003.161|-11460.683 7006.074|-11465.745 7006.741|-11470.771 7007.653|-11475.741 7008.787|-11480.662 7010.166|-11485.507 7011.768|-11490.267 7013.602|-11494.944 7015.659|-11499.509 7017.928|-11499.432 6992.008|-11494.965 6990.251|-11490.442 6988.661|-11485.863 6987.227|-11481.235 6985.970|-11476.559 6984.881|-11471.854 6983.969|-11467.115 6983.224|-11462.347 6982.646|-11391.436 6977.608|-11371.366 6976.185|-11371.317 6999.736|-11375.302 6999.992|-11375.987 7002.460|-11377.014 7004.818|-11378.357 7007.008|-11379.992 7008.988|-11381.887 7010.722|-11383.998 7012.179|-11386.298 7013.324|-11388.737 7014.147|-11391.261 7014.614|-11393.834 7014.736|-11396.392 7014.492|-11398.895 7013.902|-11401.285 7012.968|-11403.529 7011.712|-11405.571 7010.155
