ADDRESS,POINTS
551 DOUGLAS GLEN PT SE,3702.528 -10552.372|3704.003 -10550.103|3709.994 -10540.897|3684.332 -10540.908|3678.670 -10540.919|3637.104 -10540.930|3624.633 -10540.930|3604.529 -10540.941|3608.262 -10556.419|3614.483 -10567.761|3617.356 -10578.069|3616.524 -10590.678|3621.439 -10591.735|3624.549 -10592.346|3639.928 -10595.271|3650.855 -10596.972|3669.239 -10600.508|3671.525 -10601.298|3672.972 -10597.684|3674.846 -10594.815|3681.703 -10584.062|3700.753 -10555.096
139R DOUGLAS PARK BV SE,5140.008 -12326.454|5129.634 -12319.949|5122.161 -12338.118|5144.188 -12354.452|5163.622 -12366.461|5170.458 -12368.997|5188.571 -12376.247|5196.274 -12384.286|5219.336 -12403.389|5242.866 -12421.837|5256.721 -12431.933|5270.646 -12444.031|5283.823 -12456.040|5290.135 -12461.455|5297.140 -12464.847|5297.210 -12464.902|5299.111 -12463.134|5318.880 -12446.044|5307.835 -12441.184|5261.852 -12407.403|5225.376 -12384.230|5197.330 -12364.160|5177.917 -12353.863|5159.316 -12338.552
192R DOUGLAS SHORE CL SE,4813.133 -12157.204|4632.793 -12058.707|4605.062 -12032.966|4605.118 -12045.775|4627.746 -12065.312|4647.759 -12073.896|4655.134 -12079.868|4679.902 -12096.580|4703.159 -12115.528|4728.150 -12131.918|4739.761 -12141.058|4751.687 -12150.454|4778.174 -12164.598|4792.777 -12170.725|4802.004 -12174.239|4805.024 -12169.624
2219R DOUGLASBANK CR SE,4260.417 -11566.736|4257.369 -11561.911|4187.499 -11727.102|4165.934 -11745.638|4164.067 -11747.239|4170.450 -11755.468|4181.718 -11771.313|4188.863 -11785.679|4195.084 -11798.178|4199.376 -11806.295|4209.093 -11824.664|4222.067 -11851.751|4225.325 -11858.000|4239.180 -11877.215|4258.760 -11899.832|4278.418 -11922.382|4282.325 -11926.374|4299.123 -11945.377|4321.199 -11965.559|4343.995 -11984.896|4368.679 -12002.053|4387.210 -12017.332|4394.103 -12019.934|4420.541 -12033.822|4446.650 -12048.322|4455.850 -12050.824|4475.186 -12058.696|4503.036 -12069.460|4531.277 -12079.312|4539.148 -12082.937|4559.945 -12088.886|4589.123 -12095.146|4599.343 -12096.402|4606.523 -12095.168|4602.811 -12092.132|4602.440 -12091.832|4600.630 -12090.342|4586.215 -12079.712|4566.572 -12057.095|4547.642 -12033.800|4526.419 -12012.717|4519.883 -12008.069|4511.235 -11996.383|4504.224 -11992.113|4487.775 -11966.894|4478.499 -11937.994|4476.514 -11928.909|4469.314 -11917.101|4481.966 -11918.279|4491.103 -11934.792|4495.437 -11944.110|4516.248 -11965.737|4537.121 -11987.309|4560.868 -12005.545|4572.081 -12013.306|4590.123 -12017.421|4592.563 -12022.825|4605.118 -12045.775|4605.062 -12032.966|4598.868 -12025.616|4588.194 -12012.828|4489.684 -11894.862|4454.822 -11846.981|4428.342 -11810.598|4407.385 -11781.821|4375.250 -11737.676|4367.952 -11727.647|4355.453 -11710.478|4345.442 -11696.723|4335.425 -11682.968|4325.415 -11669.214|4322.863 -11665.722|4316.082 -11654.958|4305.813 -11638.691|4296.733 -11624.302|4287.659 -11609.902|4278.578 -11595.514|4269.498 -11581.125
313R DOUGLASDALE PT SE,5677.967 -12621.932|5677.736 -12621.398|5597.318 -12650.831|5595.451 -12651.521|5597.311 -12655.435|5598.492 -12660.327|5599.066 -12665.276|5600.680 -12675.139|5601.638 -12685.124|5601.282 -12697.088|5600.303 -12707.986|5601.498 -12711.677|5605.916 -12721.184|5610.236 -12735.862|5613.767 -12751.607|5614.011 -12767.019|5614.445 -12770.422|5618.492 -12782.119|5620.820 -12798.843|5622.595 -12816.579|5621.806 -12827.620|5624.462 -12843.866|5625.811 -12849.904|5627.678 -12857.487|5634.367 -12872.654|5637.828 -12883.707|5639.135 -12886.376|5641.568 -12886.376|5751.898 -12886.131|5743.503 -12870.641|5731.689 -12848.836|5724.517 -12835.626|5720.770 -12826.864|5720.469 -12824.440|5718.162 -12806.193|5715.485 -12784.910|5712.794 -12763.628|5710.822 -12747.982|5710.081 -12744.858|5705.677 -12726.500|5701.280 -12708.141|5696.869 -12689.783|5692.451 -12671.347|5683.839 -12635.409
207R DOUGLAS PARK BV SE,5441.402 -12340.620|5418.928 -12312.977|5350.589 -12236.497|5315.091 -12210.644|5297.112 -12196.756|5273.372 -12191.530|5238.644 -12182.389|5224.949 -12178.742|5221.748 -12186.537|5273.673 -12203.016|5292.393 -12204.751|5302.872 -12213.935|5314.378 -12228.591|5336.706 -12265.930|5344.137 -12269.933|5357.160 -12294.107|5377.971 -12320.193|5382.654 -12334.315|5387.275 -12345.913|5396.677 -12371.765|5403.940 -12383.352|5412.546 -12366.550|5411.714 -12365.016
143R DOUGLASBANK DR SE,4090.835 -11273.415|4079.392 -11267.211|4115.281 -11331.793|4113.848 -11313.379|4117.623 -11306.329|4125.284 -11292.052|4108.297 -11282.867
139R DOUGLAS PARK ME SE,5129.634 -12319.949|5114.912 -12311.320|4885.184 -12196.578|4813.133 -12157.204|4805.024 -12169.624|4802.004 -12174.239|4830.854 -12185.392|4858.431 -12196.811|4886.904 -12205.718|4902.835 -12212.345|4914.034 -12217.182|4939.570 -12232.783|4966.686 -12245.381|4993.669 -12258.235|5020.457 -12271.457|5036.276 -12279.140|5045.881 -12286.523|5071.900 -12301.435|5096.150 -12318.892|5120.169 -12336.672|5122.161 -12338.118
245R DOUGLAS PARK BV SE,5508.860 -12405.413|5485.792 -12395.183|5441.402 -12340.620|5411.714 -12365.016|5412.546 -12366.550|5403.940 -12383.352|5395.020 -12400.743|5364.850 -12406.303|5318.880 -12446.044|5299.111 -12463.134|5297.210 -12464.902|5310.093 -12474.999|5331.142 -12495.214|5331.778 -12495.792|5334.455 -12498.728|5354.958 -12520.511|5376.698 -12541.126|5399.257 -12561.019|5401.983 -12564.400|5419.061 -12589.630|5439.655 -12611.324|5463.765 -12629.493|5464.967 -12630.349|5487.812 -12641.080|5514.404 -12654.668|5541.205 -12667.800|5566.700 -12683.634|5576.228 -12680.242|5574.885 -12672.937|5570.586 -12641.291|5565.239 -12610.190|5570.859 -12607.187|5571.831 -12609.089|5574.361 -12606.765|5575.822 -12605.408|5642.274 -12544.307|5630.481 -12525.904|5619.058 -12508.079|5617.527 -12505.678|5608.943 -12491.645|5599.744 -12476.589|5594.039 -12467.249|5587.671 -12459.988|5574.361 -12444.798|5571.125 -12441.095|5561.443 -12434.524|5547.839 -12425.272|5536.983 -12417.878|5533.131 -12416.177|5512.090 -12406.847
214R DOUGLAS PARK VW SE,5651.410 -12560.953|5648.153 -12553.469|5642.274 -12544.307|5575.822 -12605.408|5574.361 -12606.765|5571.831 -12609.089|5584.546 -12633.830|5595.451 -12651.521|5597.318 -12650.831|5677.736 -12621.398|5667.418 -12597.725
