ADDRESS,POINTS
243 HAWKCLIFF WY NW,-6512.411 8820.464|-6512.397 8828.037|-6521.219 8825.546|-6534.669 8821.754|-6548.126 8817.962|-6563.980 8813.481|-6562.673 8805.664|-6561.519 8797.825|-6560.513 8789.963|-6559.667 8782.091|-6558.968 8774.196|-6558.423 8766.290|-6558.038 8758.373|-6557.801 8750.456|-6528.860 8725.771|-6512.600 8715.463
164 HAWKVIEW MANOR CI NW,-7099.842 8856.436|-7108.447 8868.256|-7138.101 8857.259|-7154.298 8813.670|-7096.431 8770.237|-7027.358 8758.217|-6963.877 8705.133|-6945.583 8694.202|-6929.526 8723.224|-6936.013 8726.971|-6944.598 8732.431|-6952.895 8738.302|-6958.753 8742.839|-6964.444 8747.576|-6967.897 8750.556|-6982.500 8763.154|-6989.015 8768.781|-6997.145 8775.541|-7004.415 8781.212|-7011.853 8786.672|-7019.284 8791.787|-7026.869 8796.680|-7035.180 8801.683|-7042.786 8806.109|-7058.801 8815.427|-7074.809 8824.745|-7078.214 8826.724|-7086.945 8838.722|-7088.762 8841.213
61 HAWKWOOD HL NW,-7481.802 8755.404|-7540.501 8795.156|-7546.464 8766.090|-7557.621 8762.165|-7568.421 8758.373|-7554.419 8727.350|-7558.285 8708.546|-7558.746 8706.300|-7559.263 8705.566|-7580.354 8675.555|-7586.764 8666.415|-7593.726 8658.442|-7619.640 8628.742|-7560.487 8587.233|-7546.051 8619.891|-7496.139 8722.957
21 HAWKWOOD HL NW,-7560.487 8587.233|-7619.640 8628.742|-7637.368 8608.415|-7641.499 8594.071|-7642.359 8591.102|-7645.519 8580.127|-7657.619 8570.720|-7670.468 8560.746|-7671.370 8560.046|-7694.452 8512.521|-7704.358 8492.117|-7704.365 8485.412|-7704.386 8460.560|-7704.393 8446.627|-7695.074 8447.683|-7685.777 8448.906|-7676.508 8450.285|-7667.259 8451.820|-7658.032 8453.510|-7648.839 8455.356|-7639.682 8457.357|-7630.559 8459.525|-7577.900 8472.480|-7577.900 8472.546|-7579.277 8493.206|-7579.682 8494.874|-7580.535 8498.677|-7581.227 8502.513|-7581.766 8506.383|-7582.143 8510.264|-7582.360 8514.156|-7582.423 8518.058|-7582.318 8521.950|-7582.059 8525.842|-7581.633 8529.723|-7581.053 8533.581|-7580.319 8537.406|-7579.424 8541.209|-7578.375 8544.957|-7577.173 8548.670|-7575.817 8552.329|-7574.321 8555.931
35R HAWKVILLE ME NW,-8116.719 9487.411|-8116.831 9549.069|-8183.156 9450.639|-8228.546 9383.277|-8224.931 9383.288|-8232.845 9371.502|-8211.279 9356.957|-8164.261 9325.222|-8161.080 9323.176|-8157.802 9321.297|-8154.439 9319.563|-8150.993 9317.995|-8147.484 9316.583|-8143.905 9315.348|-8140.277 9314.281|-8136.600 9313.391|-8132.350 9312.580|-8128.071 9312.012|-8123.758 9311.668|-8119.438 9311.557|-8116.495 9311.568|-8116.523 9366.654|-8116.530 9383.477|-8143.492 9394.508|-8154.642 9412.433|-8153.719 9423.897|-8151.566 9450.539|-8150.616 9462.237|-8133.440 9479.672|-8125.813 9487.411
489 HAWKFORD WY NW,-7221.176 9366.609|-7323.069 9366.631|-7323.069 9332.495|-7300.511 9332.483|-7274.248 9311.579|-7272.870 9313.080|-7271.312 9314.392|-7269.578 9315.471|-7267.718 9316.305|-7265.768 9316.883|-7263.748 9317.183|-7261.714 9317.216|-7259.686 9316.972|-7257.407 9316.683|-7255.115 9316.683|-7252.843 9316.983|-7250.620 9317.561|-7241.371 9320.497|-7232.039 9323.154|-7222.637 9325.534|-7213.165 9327.646
15R HAWKHILL ME NW,-6334.504 8702.042|-6345.409 8705.355|-6348.051 8706.245|-6350.631 8707.301|-6353.140 8708.513|-6355.573 8709.870|-6357.915 8711.382|-6360.152 8713.039|-6362.291 8714.829|-6364.311 8716.742|-6366.213 8718.776|-6367.981 8720.934|-6369.610 8723.191|-6371.099 8725.548|-6372.434 8727.983|-6373.622 8730.507|-6374.650 8733.098|-6375.510 8735.734|-6379.473 8749.255|-6380.886 8753.681|-6382.500 8758.039|-6384.318 8762.331|-6386.338 8766.524|-6388.540 8770.616|-6390.938 8774.607|-6393.517 8778.477|-6396.279 8782.224|-6407.575 8796.858|-6409.421 8799.104|-6411.385 8801.239|-6413.475 8803.262|-6415.677 8805.153|-6417.991 8806.921|-6420.396 8808.544|-6422.898 8810.023|-6425.478 8811.357|-6461.709 8828.770|-6464.394 8829.905|-6467.176 8830.772|-6470.028 8831.361|-6472.922 8831.673|-6475.837 8831.695|-6478.745 8831.439|-6481.604 8830.905|-6484.408 8830.083|-6512.411 8820.464|-6512.600 8715.463|-6485.813 8698.461|-6495.334 8625.640|-6400.480 8573.934|-6378.341 8573.978|-6370.568 8589.157|-6363.018 8604.457|-6355.692 8619.869|-6348.597 8635.380|-6341.725 8650.992|-6335.084 8666.704|-6328.674 8682.505|-6322.501 8698.406
315R HAWKDALE BA NW,-8097.635 9366.654|-8116.523 9366.654|-8116.495 9311.568|-8097.558 9311.601|-8097.593 9335.530
100R HAWKWOOD HL NW,-7339.448 8817.273|-7364.243 8832.696|-7378.490 8814.537|-7414.246 8806.787|-7420.845 8805.364|-7347.004 8723.680|-7311.570 8691.889|-7300.623 8682.071|-7208.334 8645.010|-7072.712 8602.511|-6950.533 8518.881|-6931.099 8495.041|-6908.366 8516.413|-6956.656 8556.765|-6972.315 8569.842|-6983.807 8579.449|-6995.307 8589.045|-7006.806 8598.653|-7019.836 8609.539|-7032.866 8620.425|-7044.366 8630.021|-7055.865 8639.628|-7066.309 8648.357|-7075.410 8655.951|-7085.400 8664.302|-7086.581 8664.169|-7101.394 8662.556|-7117.241 8660.833|-7125.616 8659.910|-7132.914 8663.846|-7148.622 8672.319|-7166.007 8681.682|-7177.073 8687.653|-7182.407 8692.357|-7197.038 8705.244|-7209.697 8716.408|-7221.483 8726.794|-7232.724 8736.701|-7243.965 8746.609|-7255.205 8756.505|-7266.446 8766.412|-7287.425 8784.904
48 HAWKDALE CL NW,-7542.752 9366.654|-7622.632 9366.665|-7633.810 9328.870|-7627.560 9326.868|-7621.423 9324.555|-7615.397 9321.964|-7609.497 9319.084|-7606.854 9317.717|-7605.051 9316.905|-7603.170 9316.293|-7601.241 9315.893|-7599.270 9315.715|-7597.026 9315.437|-7594.859 9314.781|-7592.825 9313.780|-7590.993 9312.457|-7589.406 9310.845|-7588.113 9308.988|-7587.148 9306.953|-7586.540 9304.774|-7550.322 9311.734
