ADDRESS,POINTS
1028R 73 ST SW,-8481.706 999.046|-8467.382 979.109|-8463.202 976.429|-8437.910 960.162|-8437.910 960.217|-8437.931 976.296|-8437.931 979.298|-8437.938 984.780|-8437.959 998.957|-8437.959 1003.928|-8452.541 1003.928|-8467.124 1003.906|-8481.706 1003.372
7869 WENTWORTH DR SW,-9427.266 678.727|-9397.088 667.741|-9397.906 653.019|-9398.807 636.907|-9399.758 619.849|-9400.709 602.781|-9382.422 608.708|-9361.066 596.710|-9351.615 532.951|-9343.072 532.717|-9327.414 532.372|-9304.590 532.094|-9305.352 533.306|-9311.203 542.625|-9313.586 546.416|-9315.180 548.952|-9317.578 552.766|-9317.585 552.766|-9320.095 556.757|-9320.164 578.452|-9320.213 593.719|-9323.422 607.162|-9327.400 623.830|-9331.377 640.498|-9334.313 652.797|-9330.979 658.112|-9302.080 664.372|-9302.961 673.690|-9303.185 675.069|-9303.667 676.392|-9304.380 677.593|-9305.310 678.649|-9306.421 679.506|-9307.672 680.139|-9309.022 680.540|-9310.413 680.673|-9380.129 680.673|-9384.763 680.773|-9389.391 681.062|-9393.998 681.540|-9398.584 682.196|-9403.141 683.053|-9407.664 684.087|-9412.131 685.310|-9416.549 686.722|-9417.933 687.045|-9419.352 687.111|-9420.764 686.900|-9422.107 686.422|-9423.330 685.710|-9424.399 684.765|-9425.273 683.642|-9425.909 682.374
7870 WENTWORTH DR SW,-9392.013 876.276|-9405.176 854.782|-9413.914 840.516|-9409.810 805.223|-9433.578 781.916|-9430.719 772.976|-9426.147 764.292|-9420.107 756.553|-9412.788 750.014|-9409.328 747.646|-9407.266 739.139|-9419.884 713.542|-9414.522 711.107|-9409.020 709.028|-9405.518 707.905|-9401.967 706.937|-9398.388 706.114|-9394.774 705.436|-9391.132 704.914|-9387.476 704.536|-9383.806 704.302|-9380.129 704.224|-9380.241 704.713|-9380.304 705.069|-9380.961 708.205|-9380.954 708.216|-9385.064 728.176|-9389.307 748.769|-9391.027 757.120|-9383.212 766.204|-9369.042 782.694|-9356.927 796.794|-9355.900 797.984|-9356.089 799.185|-9356.354 800.853|-9360.360 826.305|-9361.653 834.489|-9363.960 839.459|-9369.608 851.658|-9375.256 863.856|-9381.156 876.587|-9386.805 888.786|-9388.482 892.410|-9392.208 900.439|-9398.318 913.638|-9401.100 919.642|-9403.638 928.427|-9407.650 942.281|-9411.488 955.558|-9411.733 956.414|-9412.110 957.726|-9418.667 955.636|-9483.602 933.030|-9484.986 932.385|-9486.209 931.462|-9487.223 930.306|-9487.978 928.971|-9488.446 927.515|-9488.614 925.991|-9488.460 924.468|-9488.006 923.000|-9485.454 916.595|-9471.410 925.535|-9460.079 932.741|-9434.647 934.453|-9412.725 920.988|-9402.603 899.138
83 WENTWORTH GV SW,-10286.025 658.534|-10265.438 665.195|-10276.909 676.626|-10279.328 672.178|-10281.656 667.674|-10283.893 663.127
83 WENTWORTH GV SW,-10202.565 679.261|-10099.302 679.216|-10077.981 666.396|-10078.128 690.347|-10092.948 690.358|-10120.008 690.369|-10145.090 690.380|-10162.985 690.392|-10164.111 690.392|-10194.394 690.403|-10197.882 690.414|-10197.861 689.513|-10197.938 688.056|-10198.168 686.622|-10198.560 685.221|-10199.091 683.876|-10199.769 682.586|-10200.580 681.385|-10201.517 680.273
8691R WENTWORTH DR SW,-10286.451 553.255|-10274.630 552.654|-10275.280 560.216|-10278.950 563.652|-10282.278 567.410|-10285.228 571.480|-10287.786 575.805|-10289.918 580.353|-10291.610 585.079|-10292.840 589.949|-10293.609 594.920|-10292.875 605.528|-10294.197 620.428|-10295.070 635.361|-10292.267 643.334|-10289.184 651.206|-10298.691 648.126|-10300.530 653.831|-10286.025 658.534|-10281.656 667.674|-10276.909 676.626|-10271.086 690.447|-10280.978 690.447|-10390.812 690.503|-10383.046 658.467|-10372.553 612.755|-10385.604 592.851|-10396.125 577.084|-10393.867 564.463|-10386.478 563.874|-10351.693 578.785|-10319.754 578.874
8652 WENTWORTH DR SW,-10278.699 1092.695|-10278.776 933.252|-10266.745 940.291|-10258.783 944.794|-10250.688 949.075|-10251.030 951.055|-10251.296 952.589|-10253.910 967.634|-10256.329 981.589|-10258.748 995.544|-10262.306 1009.176|-10265.864 1022.809|-10274.015 1043.569|-10276.161 1056.323|-10272.799 1066.931|-10265.018 1091.449|-10264.627 1092.706
8611 WENTWORTH DR SW,-10055.961 920.320|-10052.801 934.008|-10049.572 947.975|-10049.565 959.950|-10049.565 960.451|-10049.565 963.442|-10049.565 963.964|-10105.803 964.009|-10107.886 963.998|-10124.559 928.382|-10131.605 927.793|-10138.547 927.014|-10145.460 926.069|-10152.353 924.924|-10159.210 923.612|-10166.033 922.111|-10172.807 920.432|-10179.266 918.652|-10185.676 916.707|-10191.933 914.638|-10198.126 912.414|-10204.376 910.002|-10210.555 907.422|-10216.938 904.575|-10223.236 901.551|-10232.261 896.858|-10256.777 923.134|-10261.726 920.243|-10266.710 917.162|-10270.352 914.783|-10273.924 912.281|-10277.419 909.690|-10280.838 906.999|-10280.824 904.987|-10280.978 690.447|-10271.086 690.447|-10261.929 704.769|-10256.832 712.775|-10255.595 718.869|-10252.610 733.557|-10252.603 748.246|-10252.596 756.352|-10253.519 762.935|-10255.560 777.624|-10258.678 800.019|-10258.203 801.742|-10252.799 821.212|-10236.504 814.596|-10222.901 799.996|-10221.600 801.520|-10220.139 802.899|-10233.750 817.498|-10233.023 838.292|-10219.979 837.925|-10201.349 837.402|-10183.768 836.913|-10169.717 836.513|-10155.666 836.124|-10142.266 835.746|-10128.271 833.599|-10114.283 831.465|-10100.288 829.318|-10086.558 827.228|-10082.420 831.865|-10077.282 845.975|-10071.361 862.243|-10065.937 877.166|-10062.294 892.911|-10059.121 906.666
8611 WENTWORTH DR SW,-10150.941 884.782|-10148.781 884.838|-10146.635 885.049|-10144.502 885.416|-10142.405 885.928|-10140.357 886.595|-10138.358 887.407|-10136.421 888.363|-10134.555 889.464|-10132.779 890.687|-10131.095 892.032|-10129.508 893.500|-10128.040 895.079|-10126.684 896.758|-10125.453 898.526|-10124.349 900.383|-10123.391 902.318|-10107.075 938.156|-10068.768 938.156|-10089.152 869.071|-10089.662 867.558|-10090.298 866.080|-10091.046 864.656|-10091.906 863.300|-10092.878 862.021|-10093.947 860.820|-10095.108 859.708|-10096.352 858.696|-10098.260 857.440|-10100.295 856.406|-10102.441 855.616|-10104.657 855.082|-10106.572 854.827|-10108.502 854.760|-10232.631 856.183|-10235.001 877.332|-10235.015 878.923|-10234.694 880.468|-10234.057 881.914|-10233.128 883.204|-10231.946 884.260|-10230.576 885.038|-10229.066 885.516|-10227.486 885.672
8660 WENTWORTH DR SW,-10330.701 1003.694|-10313.155 976.251|-10303.424 949.887|-10294.952 927.315|-10293.672 923.945|-10292.861 924.535|-10288.234 927.604|-10283.494 930.495|-10278.776 933.252|-10278.699 1092.695|-10343.451 1092.317|-10341.774 1081.898|-10339.942 1070.445|-10339.068 1064.929|-10338.530 1060.215|-10337.384 1049.940|-10336.230 1039.666|-10335.203 1030.437|-10335.028 1029.425|-10333.308 1019.217|-10331.596 1009.021
